"banco_codigo;periodo;ifrs;clp;uf;mx;total";banco_codigo;periodo;ifrs;clp;uf;mx;total
"001;2022-01-01;145000000;10106455853458;6519753065689;84700947935;2709337711190";NA;NA;NA;NA;NA;NA;NA
NA;001;2022-01-01;145000000;1010645585345800;651975306568900;8470094793500;270933771119000
NA;001;2022-01-01;146000000;3725853804700;1033349421979300;0;0
NA;001;2022-01-01;148000000;414343049505800;6205187342100;0;5058105406500
NA;001;2022-01-01;500000000;1428714488656300;1691529915890300;8470094793500;295459074090700
NA;012;2022-01-01;145000000;867323658923100;454617530102000;7944679437700;137806951309700
NA;012;2022-01-01;146000000;177797388200;1161431666603300;0;0
NA;012;2022-01-01;148000000;197369971117400;0;0;744621230100
NA;012;2022-01-01;500000000;1064871427428700;1616049196705300;7944679437700;262613184004200
NA;037;2022-01-01;145000000;795269260798300;631259098428500;11696203972200;313002957329900
NA;037;2022-01-01;146000000;20159008986300;1377247826313800;0;0
NA;037;2022-01-01;148000000;490136502102300;1178764929500;0;7211756850100
NA;037;2022-01-01;500000000;1315448765628600;2009685689671800;11696203972200;320356114768400
NA;001;2022-02-01;145000000;1005448552364800;655083177014400;8565552532700;266888179053600
NA;001;2022-02-01;146000000;3643962638000;1039049595999800;0;0
NA;001;2022-02-01;148000000;413851164332800;6097208715700;0;5062138397600
NA;001;2022-02-01;500000000;1422943679335600;1700229981729900;8565552532700;287158916890900
NA;012;2022-02-01;145000000;868180972270400;462195204198900;7831178133800;131501869547300
NA;012;2022-02-01;146000000;176727551300;1170433719858900;0;0
NA;012;2022-02-01;148000000;199170278616100;0;0;742649030500
NA;012;2022-02-01;500000000;1067527978437800;1632628924057800;7831178133800;215964433786100
NA;037;2022-02-01;145000000;798857198670400;634835236619100;11547403609000;317713858495700
NA;037;2022-02-01;146000000;141156321400;1410280634107400;0;0
NA;037;2022-02-01;148000000;488428270268200;1270347078900;0;6621438598500
NA;037;2022-02-01;500000000;1297219848626000;2046386217805400;11547403609000;324443708091000
NA;001;2022-03-01;145000000;996070484269900;667725695536700;8468630808000;262680183648300
NA;001;2022-03-01;146000000;3631900024200;1041862490182300;0;0
NA;001;2022-03-01;148000000;430428742021100;6073842738700;0;4915568892300
NA;001;2022-03-01;500000000;1430131126315200;1715662028457700;8468630808000;286772243630200
NA;012;2022-03-01;145000000;853467340556500;464498277459000;7663151325700;123212823740800
NA;012;2022-03-01;146000000;175739438800;1176428617689400;0;0
NA;012;2022-03-01;148000000;201535536893600;0;0;771230519400
NA;012;2022-03-01;500000000;1055178616888900;1640926895148400;7663151325700;235144900298600
NA;037;2022-03-01;145000000;801925187000000;635693772059300;11367714653400;309939257327600
NA;037;2022-03-01;146000000;139701262200;1415703287997700;0;0
NA;037;2022-03-01;148000000;495174475100800;1254747608300;0;5907009356900
NA;037;2022-03-01;500000000;1305102975702900;2052651807665300;11367714653400;315846266684500
NA;001;2022-04-01;145000000;998875677756700;677559025263500;9296057536700;292410265800200
NA;001;2022-04-01;146000000;3655503538800;1053281211221900;0;0
NA;001;2022-04-01;148000000;434300308103700;6036455592300;0;5605340259700
NA;001;2022-04-01;500000000;1448833822732500;1736876692077700;9296057536700;335006285553400
NA;012;2022-04-01;145000000;841498507783800;469419607242500;8139326854700;148764712356300
NA;012;2022-04-01;146000000;175127827500;1190053800852900;0;0
NA;012;2022-04-01;148000000;202121443008000;0;0;743436828700
NA;012;2022-04-01;500000000;1043795078619300;1659473408095400;8139326854700;267437429136600
NA;037;2022-04-01;145000000;789113321594800;640586653375200;12067668624000;353037001950300
NA;037;2022-04-01;146000000;138283509800;1434158487573700;0;0
NA;037;2022-04-01;148000000;498878650675700;1294032885300;0;7288160126800
