CUENTA	RUBRO	LINEA	ITEM	GLOSA
100000000	10000	00	00	TOTAL ACTIVOS
105000000	10500	00	00	EFECTIVO Y DEPÓSITOS EN BANCOS
105000100	10500	01	00	Efectivo
105000101	10500	01	01	Efectivo en oficinas
105000102	10500	01	02	Efectivo en empresas transportadoras de valores
105000103	10500	01	03	Efectivo en custodia en otras entidades financieras
105000200	10500	02	00	Depósitos en el Banco Central de Chile
105000201	10500	02	01	Depósitos en cuenta corriente
105000202	10500	02	02	Depósitos overnight
105000209	10500	02	09	Otros depósitos disponibles
105000300	10500	03	00	Depósitos en Bancos Centrales del exterior
105000301	10500	03	01	Depósitos en cuenta corriente
105000302	10500	03	02	Depósitos overnight
105000309	10500	03	09	Otros depósitos disponibles
105000400	10500	04	00	Depósitos en bancos del país
105000500	10500	05	00	Depósitos en bancos del exterior
107000000	10700	00	00	OPERACIONES CON LIQUIDACION EN CURSO
107000100	10700	01	00	Documentos a cargo de otros bancos (canje)
107000101	10700	01	01	Canje no deducible
107000102	10700	01	02	Canje de la plaza
107000103	10700	01	03	Canje de otras plazas
107000200	10700	02	00	Transferencias de fondos en curso con una contraparte central
107000201	10700	02	01	Fondos pendientes de transferencia por operaciones en la cámara de swaps
107000202	10700	02	02	Fondos pendientes de transferencia por operaciones en la cámara de forwards
107000300	10700	03	00	Transferencias de fondos en curso a través de una cámara de compensación de alto valor
107000400	10700	04	00	Otras transferencias de fondos en curso con Bancos u Otros
107000401	10700	04	01	Pagos de contrapartes por liquidar - Bancos
107000409	10700	04	09	Divisas pendientes de transferencia - Bancos
107000411	10700	04	11	Pagos de contrapartes por liquidar - Otros
107000419	10700	04	19	Divisas pendientes de transferencia - Otros
110000000	11000	00	00	ACTIVOS FINANCIEROS PARA NEGOCIAR A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS
111000100	11100	01	00	Contratos de derivados financieros
111000101	11100	01	01	Forwards
111000102	11100	01	02	Swaps
111000103	11100	01	03	Opciones Call
111000104	11100	01	04	Opciones Put
111000105	11100	01	05	Futuros
111000109	11100	01	09	Otros
112000000	11200	00	00	Instrumentos financieros de deuda
112000100	11200	01	00	Del Estado y Banco Central de Chile
112000101	11200	01	01	Instrumentos financieros de deuda del Banco Central de Chile
112000102	11200	01	02	Bonos y pagarés de la Tesorería General de la República
112000109	11200	01	09	Otros instrumentos financieros de deuda fiscales
112000200	11200	02	00	Otros instrumentos financieros de deuda emitidos en el país
112000201	11200	02	01	Instrumentos financieros de deuda de otros bancos del país
112000202	11200	02	02	Bonos y efectos de comercio de empresas del país
112000209	11200	02	09	Otros instrumentos financieros de deuda emitidos en el país
112000300	11200	03	00	Instrumentos financieros de deuda emitidos en el exterior
112000301	11200	03	01	Instrumentos financieros de deuda de Bancos Centrales en el exterior
112000302	11200	03	02	Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior
112000303	11200	03	03	Instrumentos financieros de deuda de otros bancos en el exterior
112000304	11200	03	04	Bonos y efectos de comercio de empresas en el exterior
112000309	11200	03	09	Otros instrumentos financieros de deuda emitidos en el exterior
113000000	11300	00	00	Otros instrumentos financieros
113000100	11300	01	00	Inversiones en Fondos Mutuos
