CUENTA	RUBRO	LINEA	ITEM	GLOSA
811000000	81100	00	00	CRÉDITOS EN CARTERA DETERIORADA
811100000	81110	00	00	Adeudado por bancos
811100100	81110	01	00	Bancos del país
811100200	81110	02	00	Bancos del exterior
811200000	81120	00	00	Colocaciones comerciales
811200100	81120	01	00	Préstamos comerciales
811200101	81120	01	01	Préstamos comerciales en el país
811200102	81120	01	02	Préstamos comerciales en el exterior
811200103	81120	01	03	Préstamos hipotecarios para fines generales
811200104	81120	01	04	Créditos para infraestructura escolar Ley N° 20.845
811200600	81120	06	00	Créditos de comercio exterior
811200700	81120	07	00	Deudores en cuentas corrientes
811200800	81120	08	00	Deudores por tarjetas de crédito
811200900	81120	09	00	Operaciones de factoraje
811201000	81120	10	00	Operaciones de leasing comerciales
811201100	81120	11	00	Préstamos estudiantiles
811201200	81120	12	00	Otros créditos y cuentas por cobrar
811300000	81130	00	00	Colocaciones para vivienda
811300100	81130	01	00	Préstamos con letras de crédito
811300200	81130	02	00	Préstamos con mutuos hipotecarios endosables
811300300	81130	03	00	Préstamos con mutuos financiados con bonos hipotecarios
811300400	81130	04	00	Otros créditos con mutuos para vivienda
811300500	81130	05	00	Operaciones de leasing para vivienda
811300600	81130	06	00	Otros créditos y cuentas por cobrar
811400000	81140	00	00	Colocaciones de consumo
811400100	81140	01	00	Créditos de consumo en cuotas
811400200	81140	02	00	Deudores en cuentas corrientes
811400300	81140	03	00	Deudores por tarjetas de crédito
811400400	81140	04	00	Operaciones de leasing de consumo
811400500	81140	05	00	Otros créditos y cuentas por cobrar
812000000	81200	00	00	CRÉDITOS CON DEVENGO SUSPENDIDO
812100000	81210	00	00	Adeudado por bancos
812100100	81210	01	00	Bancos del país
812100200	81210	02	00	Bancos del exterior
812200000	81220	00	00	Colocaciones comerciales
812200100	81220	01	00	Préstamos comerciales
812200101	81220	01	01	Préstamos comerciales en el país
812200102	81220	01	02	Préstamos comerciales en el exterior
812200103	81220	01	03	Préstamos hipotecarios para fines generales
812200104	81220	01	04	Créditos para infraestructura escolar Ley N° 20.845
812200600	81220	06	00	Créditos de comercio exterior
812200700	81220	07	00	Deudores en cuentas corrientes
812200800	81220	08	00	Deudores por tarjetas de crédito
812200900	81220	09	00	Operaciones de factoraje
812201000	81220	10	00	Operaciones de leasing comerciales
812201100	81220	11	00	Préstamos estudiantiles
812201200	81220	12	00	Otros créditos y cuentas por cobrar
812300000	81230	00	00	Colocaciones para vivienda
812300100	81230	01	00	Préstamos con letras de crédito
812300200	81230	02	00	Préstamos con mutuos hipotecarios endosables
812300300	81230	03	00	Préstamos con mutuos financiados con bonos hipotecarios
812300400	81230	04	00	Otros créditos con mutuos para vivienda
812300500	81230	05	00	Operaciones de leasing para vivienda
812300600	81230	06	00	Otros créditos y cuentas por cobrar
812400000	81240	00	00	Colocaciones de consumo
812400100	81240	01	00	Créditos de consumo en cuotas
812400200	81240	02	00	Deudores en cuentas corrientes
812400300	81240	03	00	Deudores por tarjetas de crédito
812400400	81240	04	00	Operaciones de leasing de consumo
812400500	81240	05	00	Otros créditos y cuentas por cobrar
813000000	81300	00	00	CASTIGOS DE CRÉDITOS
813100000	81310	00	00	Adeudado por bancos
813100100	81310	01	00	Bancos del país
813100200	81310	02	00	Bancos del exterior
813200000	81320	00	00	Colocaciones comerciales
813200100	81320	01	00	Préstamos comerciales
813200101	81320	01	01	Préstamos comerciales en el país
813200102	81320	01	02	Préstamos comerciales en el exterior
813200103	81320	01	03	Préstamos hipotecarios para fines generales
813200104	81320	01	04	Créditos para infraestructura escolar Ley N° 20.845
813200600	81320	06	00	Créditos de comercio exterior
813200700	81320	07	00	Deudores en cuentas corrientes
813200800	81320	08	00	Deudores por tarjetas de crédito
813200900	81320	09	00	Operaciones de factoraje
813201000	81320	10	00	Operaciones de leasing comerciales
813201100	81320	11	00	Préstamos estudiantiles
813201200	81320	12	00	Otros créditos y cuentas por cobrar
813300000	81330	00	00	Colocaciones para vivienda
813300100	81330	01	00	Préstamos con letras de crédito
813300200	81330	02	00	Préstamos con mutuos hipotecarios endosables
813300300	81330	03	00	Préstamos con mutuos financiados con bonos hipotecarios
813300400	81330	04	00	Otros créditos con mutuos para vivienda
813300500	81330	05	00	Operaciones de leasing para vivienda
813300600	81330	06	00	Otros créditos y cuentas por cobrar
813400000	81340	00	00	Colocaciones de consumo
813400100	81340	01	00	Créditos de consumo en cuotas
813400200	81340	02	00	Deudores en cuentas corrientes
813400300	81340	03	00	Deudores por tarjetas de crédito
813400400	81340	04	00	Operaciones de leasing de consumo
813400500	81340	05	00	Otros créditos y cuentas por cobrar
814000000	81400	00	00	RECUPERACIONES DE CRÉDITOS CASTIGADOS
814100000	81410	00	00	Adeudado por bancos
814100100	81410	01	00	Bancos del país
814100200	81410	02	00	Bancos del exterior
814200000	81420	00	00	Colocaciones comerciales
814200100	81420	01	00	Préstamos comerciales
814200101	81420	01	01	Préstamos comerciales en el país
814200102	81420	01	02	Préstamos comerciales en el exterior
814200103	81420	01	03	Préstamos hipotecarios para fines generales
814200104	81420	01	04	Créditos para infraestructura escolar Ley N° 20.845
814200600	81420	06	00	Créditos de comercio exterior
814200700	81420	07	00	Deudores en cuentas corrientes
814200800	81420	08	00	Deudores por tarjetas de crédito
814200900	81420	09	00	Operaciones de factoraje
814201000	81420	10	00	Operaciones de leasing comerciales
814201100	81420	11	00	Préstamos estudiantiles
814201200	81420	12	00	Otros créditos y cuentas por cobrar
814300000	81430	00	00	Colocaciones para vivienda
814300100	81430	01	00	Préstamos con letras de crédito
814300200	81430	02	00	Préstamos con mutuos hipotecarios endosables
814300300	81430	03	00	Préstamos con mutuos financiados con bonos hipotecarios
814300400	81430	04	00	Otros créditos con mutuos para vivienda
