014	SCOTIABANK CHILE
8110000	 0000001055568,00	
8111000	 0000000000000,00	
8113000	 0000000392429,00	
8114000	 0000000354724,00	
8115000	 0000000308415,00	
8130000	 0000000086360,00	
8131000	 0000000000000,00	
8133000	 0000000011344,00	
8134000	 0000000000746,00	
8135000	 0000000074270,00	
8140000	 0000000013481,00	
8141000	 0000000000000,00	
8143000	 0000000002145,00	
8144000	 0000000001252,00	
8145000	 0000000010084,00	
8310000	 0000006572883,00	
8311000	 0000000191165,00	
8312000	 0000000000834,00	
8314000	 0000000085382,00	
8315000	 0000000885695,00	
8315100	 0000000668359,00	
8315200	 0000000217336,00	
8317000	 0000005106591,00	
8318000	 0000000303216,00	
8318100	 0000000233821,00	
8318900	 0000000069395,00	
8319000	 0000000000000,00	
8510000	 0000011300045,00	
8511000	 0000000001826,00	
8513000	 0000011298219,00	
8520000	 0000000231535,00	
8521000	 0000000000000,00	
8523000	 0000000231535,00	
8530000	 0000000077983,00	
8531000	 0000000000000,00	
8533000	 0000000077983,00	
8540000	 0000013928245,00	
8543000	 0000001694378,00	
8544000	 0000009138099,00	
8545000	 0000003095768,00	
8560000	 0000000883596,00	
8563000	 0000000220457,00	
8564000	 0000000354724,00	
8565000	 0000000308415,00	
8610000	 0000001921823,00	
8620000	 0000000005342,00	
8630000	 0000000001087,00	
8640000	 0000004613262,00	
8660000	 0000000031369,00	
8700000	 0000000002217,00	
8710000	 0000000002382,00	
8711000	 0000000000005,00	
8712000	 0000000000512,00	
8713000	 0000000000020,00	
8714000	 0000000000340,00	
8715000	 0000000000616,00	
8716000	 0000000000606,00	
8717000	 0000000000283,00	
8720000	 0000000000165,00	
8721000	 0000000000000,00	
8722000	 0000000000020,00	
8723000	 0000000000000,00	
8724000	 0000000000000,00	
8725000	 0000000000000,00	
8726000	 0000000000000,00	
8727000	 0000000000145,00	
8910000	 0000000484166,00	
8911000	 0000000000000,00	
8913000	 0000000177379,00	
8914000	 0000000211228,00	
8915000	 0000000095559,00	
