055	BANCO CONSORCIO
8110000	 0000000176305,00	
8111000	 0000000000000,00	
8113000	 0000000169099,00	
8114000	 0000000003456,00	
8115000	 0000000003750,00	
8130000	 0000000004897,00	
8131000	 0000000000000,00	
8133000	 0000000002823,00	
8134000	 0000000000035,00	
8135000	 0000000002039,00	
8140000	 0000000000205,00	
8141000	 0000000000000,00	
8143000	 0000000000000,00	
8144000	 0000000000000,00	
8145000	 0000000000205,00	
8310000	 0000000119893,00	
8311000	 0000000000000,00	
8312000	 0000000000862,00	
8314000	 0000000000000,00	
8315000	 0000000069427,00	
8315100	 0000000067379,00	
8315200	 0000000002048,00	
8317000	 0000000049604,00	
8318000	 0000000000000,00	
8318100	 0000000000000,00	
8318900	 0000000000000,00	
8319000	 0000000000000,00	
8510000	 0000002810177,00	
8511000	 0000000000000,00	
8513000	 0000002810177,00	
8520000	 0000000184462,00	
8521000	 0000000000000,00	
8523000	 0000000184462,00	
8530000	 0000000103951,00	
8531000	 0000000000000,00	
8533000	 0000000103951,00	
8540000	 0000000684687,00	
8543000	 0000000040686,00	
8544000	 0000000552973,00	
8545000	 0000000091028,00	
8560000	 0000000007676,00	
8563000	 0000000000470,00	
8564000	 0000000003456,00	
8565000	 0000000003750,00	
8610000	 0000000087070,00	
8620000	 0000000006368,00	
8630000	 0000000000163,00	
8640000	 0000000026127,00	
8660000	 0000000000165,00	
8700000	 0000000001623,00	
8710000	 0000000000141,00	
8711000	 0000000000000,00	
8712000	 0000000000013,00	
8713000	 0000000000000,00	
8714000	 0000000000001,00	
8715000	 0000000000000,00	
8716000	 0000000000007,00	
8717000	 0000000000120,00	
8720000	 0000000001764,00	
8721000	 0000000000000,00	
8722000	 0000000001759,00	
8723000	 0000000000000,00	
8724000	 0000000000000,00	
8725000	 0000000000000,00	
8726000	 0000000000003,00	
8727000	 0000000000002,00	
8910000	 0000000081737,00	
8911000	 0000000000000,00	
8913000	 0000000077147,00	
8914000	 0000000002717,00	
8915000	 0000000001873,00	
