927	CORPBANCA COLOMBIA
8110000	 0000000330805,00	
8111000	 0000000000000,00	
8113000	 0000000275363,00	
8114000	 0000000029810,00	
8115000	 0000000025632,00	
8130000	 0000000049227,00	
8131000	 0000000000000,00	
8133000	 0000000020381,00	
8134000	 0000000000713,00	
8135000	 0000000028133,00	
8140000	 0000000007663,00	
8141000	 0000000000000,00	
8143000	 0000000001182,00	
8144000	 0000000000265,00	
8145000	 0000000006216,00	
8310000	 0000001038968,00	
8311000	 0000000072907,00	
8312000	 0000000000000,00	
8314000	 0000000001447,00	
8315000	 0000000316833,00	
8315100	 0000000000000,00	
8315200	 0000000316833,00	
8317000	 0000000545362,00	
8318000	 0000000102419,00	
8318100	 0000000000000,00	
8318900	 0000000102419,00	
8319000	 0000000000000,00	
8510000	 0000002770769,00	
8511000	 0000000037461,00	
8513000	 0000002733308,00	
8520000	 0000000215951,00	
8521000	 0000000000000,00	
8523000	 0000000215951,00	
8530000	 0000000169336,00	
8531000	 0000000000000,00	
8533000	 0000000169336,00	
8540000	 0000001360578,00	
8543000	 0000000062838,00	
8544000	 0000000573955,00	
8545000	 0000000723785,00	
8560000	 0000000064752,00	
8563000	 0000000009310,00	
8564000	 0000000029810,00	
8565000	 0000000025632,00	
8610000	 0000000592762,00	
8620000	 0000000004614,00	
8630000	 0000000000082,00	
8640000	 0000000440542,00	
8660000	 0000000000968,00	
8700000	 0000000000228,00	
8710000	 0000000000679,00	
8711000	 0000000000018,00	
8712000	 0000000000300,00	
8713000	 0000000000187,00	
8714000	 0000000000000,00	
8715000	 0000000000004,00	
8716000	 0000000000037,00	
8717000	 0000000000133,00	
8720000	 0000000000451,00	
8721000	 0000000000002,00	
8722000	 0000000000001,00	
8723000	 0000000000317,00	
8724000	 0000000000000,00	
8725000	 0000000000000,00	
8726000	 0000000000000,00	
8727000	 0000000000131,00	
8910000	 0000000176918,00	
8911000	 0000000000000,00	
8913000	 0000000144767,00	
8914000	 0000000025378,00	
8915000	 0000000006773,00	
