950	BANCOS NACIONALES
8110000	 0000006790800,00	
8111000	 0000000000000,00	
8113000	 0000003339828,00	
8114000	 0000001975176,00	
8115000	 0000001475796,00	
8130000	 0000001135197,00	
8131000	 0000000000000,00	
8133000	 0000000192541,00	
8134000	 0000000029386,00	
8135000	 0000000913270,00	
8140000	 0000000187889,00	
8141000	 0000000000000,00	
8143000	 0000000040616,00	
8144000	 0000000012326,00	
8145000	 0000000134947,00	
8310000	 0000033050169,00	
8311000	 0000001091444,00	
8312000	 0000000218058,00	
8314000	 0000000728280,00	
8315000	 0000005966627,00	
8315100	 0000004706020,00	
8315200	 0000001260607,00	
8317000	 0000023396253,00	
8318000	 0000001641244,00	
8318100	 0000000782564,00	
8318900	 0000000858680,00	
8319000	 0000000008263,00	
8510000	 0000053523184,00	
8511000	 0000001365040,00	
8513000	 0000052158144,00	
8520000	 0000003412713,00	
8521000	 0000000000000,00	
8523000	 0000003412713,00	
8530000	 0000001312945,00	
8531000	 0000000000000,00	
8533000	 0000001312945,00	
8540000	 0000055924976,00	
8543000	 0000014377855,00	
8544000	 0000029327067,00	
8545000	 0000012220054,00	
8560000	 0000004791755,00	
8563000	 0000001340790,00	
8564000	 0000001975174,00	
8565000	 0000001475791,00	
8610000	 0000012670527,00	
8620000	 0000000243316,00	
8630000	 0000000019820,00	
8640000	 0000020016384,00	
8660000	 0000000100122,00	
8700000	 0000000034915,00	
8710000	 0000000046865,00	
8711000	 0000000000220,00	
8712000	 0000000028805,00	
8713000	 0000000001256,00	
8714000	 0000000002215,00	
8715000	 0000000004979,00	
8716000	 0000000001889,00	
8717000	 0000000007501,00	
8720000	 0000000015030,00	
8721000	 0000000000011,00	
8722000	 0000000004833,00	
8723000	 0000000000000,00	
8724000	 0000000000020,00	
8725000	 0000000008185,00	
8726000	 0000000000197,00	
8727000	 0000000001784,00	
8910000	 0000002245580,00	
8911000	 0000000000000,00	
8913000	 0000001163202,00	
8914000	 0000000727651,00	
8915000	 0000000354727,00	
