998	SISTEMA FINANCIERO CHILE
8110000	 0000010893269,00	
8111000	 0000000000000,00	
8113000	 0000005828283,00	
8114000	 0000002949959,00	
8115000	 0000002115027,00	
8130000	 0000002013181,00	
8131000	 0000000000000,00	
8133000	 0000000419097,00	
8134000	 0000000056369,00	
8135000	 0000001537715,00	
8140000	 0000000357551,00	
8141000	 0000000000000,00	
8143000	 0000000088258,00	
8144000	 0000000025398,00	
8145000	 0000000243895,00	
8310000	 0000053927799,00	
8311000	 0000002180791,00	
8312000	 0000000338075,00	
8314000	 0000000997102,00	
8315000	 0000009153904,00	
8315100	 0000007441068,00	
8315200	 0000001712836,00	
8317000	 0000038226783,00	
8318000	 0000003006330,00	
8318100	 0000001517837,00	
8318900	 0000001488493,00	
8319000	 0000000024814,00	
8510000	 0000080167274,00	
8511000	 0000001216309,00	
8513000	 0000078950965,00	
8520000	 0000005385543,00	
8521000	 0000000000000,00	
8523000	 0000005385543,00	
8530000	 0000002464820,00	
8531000	 0000000000000,00	
8533000	 0000002464820,00	
8540000	 0000095073081,00	
8543000	 0000020958950,00	
8544000	 0000053228777,00	
8545000	 0000020885354,00	
8560000	 0000007284978,00	
8563000	 0000002219994,00	
8564000	 0000002949959,00	
8565000	 0000002115025,00	
8610000	 0000019360927,00	
8620000	 0000000363637,00	
8630000	 0000000052085,00	
8640000	 0000034009814,00	
8660000	 0000000141336,00	
8700000	 0000000061561,00	
8710000	 0000000079511,00	
8711000	 0000000002986,00	
8712000	 0000000046867,00	
8713000	 0000000001918,00	
8714000	 0000000002254,00	
8715000	 0000000006581,00	
8716000	 0000000004952,00	
8717000	 0000000013953,00	
8720000	 0000000021028,00	
8721000	 0000000001957,00	
8722000	 0000000006605,00	
8723000	 0000000000000,00	
8724000	 0000000000020,00	
8725000	 0000000008710,00	
8726000	 0000000000337,00	
8727000	 0000000003399,00	
8910000	 0000003399885,00	
8911000	 0000000000000,00	
8913000	 0000001967160,00	
8914000	 0000000997837,00	
8915000	 0000000434888,00	
