960	BANCOS EXTRANJEROS
8110000	 0000004762517,00	
8111000	 0000000000000,00	
8113000	 0000003041376,00	
8114000	 0000001012994,00	
8115000	 0000000708147,00	
8130000	 0000000899235,00	
8131000	 0000000000000,00	
8133000	 0000000277513,00	
8134000	 0000000027428,00	
8135000	 0000000594294,00	
8140000	 0000000166293,00	
8141000	 0000000000000,00	
8143000	 0000000050636,00	
8144000	 0000000013424,00	
8145000	 0000000102233,00	
8310000	 0000022730443,00	
8311000	 0000001333741,00	
8312000	 0000000057765,00	
8314000	 0000000357871,00	
8315000	 0000003415019,00	
8315100	 0000002647922,00	
8315200	 0000000767097,00	
8317000	 0000016274235,00	
8318000	 0000001291812,00	
8318100	 0000000610377,00	
8318900	 0000000681435,00	
8319000	 0000000000000,00	
8510000	 0000033997709,00	
8511000	 0000000090011,00	
8513000	 0000033907698,00	
8520000	 0000002402556,00	
8521000	 0000000000000,00	
8523000	 0000002402556,00	
8530000	 0000001553676,00	
8531000	 0000000000000,00	
8533000	 0000001553676,00	
8540000	 0000044456364,00	
8543000	 0000008688641,00	
8544000	 0000026192258,00	
8545000	 0000009575465,00	
8560000	 0000002609151,00	
8563000	 0000000888010,00	
8564000	 0000001012994,00	
8565000	 0000000708147,00	
8610000	 0000007909820,00	
8620000	 0000000186642,00	
8630000	 0000000031280,00	
8640000	 0000014565517,00	
8660000	 0000000037184,00	
8700000	 0000000023879,00	
8710000	 0000000031374,00	
8711000	 0000000002815,00	
8712000	 0000000011033,00	
8713000	 0000000003675,00	
8714000	 0000000000579,00	
8715000	 0000000001509,00	
8716000	 0000000002894,00	
8717000	 0000000008869,00	
8720000	 0000000007495,00	
8721000	 0000000001946,00	
8722000	 0000000001657,00	
8723000	 0000000000343,00	
8724000	 0000000000000,00	
8725000	 0000000001519,00	
8726000	 0000000000121,00	
8727000	 0000000001909,00	
8910000	 0000001378488,00	
8911000	 0000000000000,00	
8913000	 0000000918263,00	
8914000	 0000000324798,00	
8915000	 0000000135427,00	
