970	BANCOS ESTABLECIDOS EN CHILE
8110000	 0000008949321,00	
8111000	 0000000000000,00	
8113000	 0000005571154,00	
8114000	 0000001645819,00	
8115000	 0000001732348,00	
8130000	 0000002058940,00	
8131000	 0000000000000,00	
8133000	 0000000431723,00	
8134000	 0000000041937,00	
8135000	 0000001585280,00	
8140000	 0000000362346,00	
8141000	 0000000000000,00	
8143000	 0000000077187,00	
8144000	 0000000018500,00	
8145000	 0000000266659,00	
8310000	 0000051480551,00	
8311000	 0000001892110,00	
8312000	 0000000175231,00	
8314000	 0000001085772,00	
8315000	 0000008188949,00	
8315100	 0000006379954,00	
8315200	 0000001808995,00	
8317000	 0000038086097,00	
8318000	 0000002022462,00	
8318100	 0000000745299,00	
8318900	 0000001277163,00	
8319000	 0000000029930,00	
8510000	 0000076372559,00	
8511000	 0000000772854,00	
8513000	 0000075599705,00	
8520000	 0000005744170,00	
8521000	 0000000000000,00	
8523000	 0000005744170,00	
8530000	 0000002757389,00	
8531000	 0000000000000,00	
8533000	 0000002757389,00	
8540000	 0000085919451,00	
8543000	 0000019240650,00	
8544000	 0000046865674,00	
8545000	 0000019813127,00	
8560000	 0000005046331,00	
8563000	 0000001668166,00	
8564000	 0000001645818,00	
8565000	 0000001732347,00	
8610000	 0000018070006,00	
8620000	 0000000405195,00	
8630000	 0000000048349,00	
8640000	 0000032843892,00	
8660000	 0000000113109,00	
8700000	 0000000049448,00	
8710000	 0000000064663,00	
8711000	 0000000003081,00	
8712000	 0000000025593,00	
8713000	 0000000005120,00	
8714000	 0000000003064,00	
8715000	 0000000006829,00	
8716000	 0000000004497,00	
8717000	 0000000016479,00	
8720000	 0000000018285,00	
8721000	 0000000001959,00	
8722000	 0000000005987,00	
8723000	 0000000000343,00	
8724000	 0000000000001,00	
8725000	 0000000006322,00	
8726000	 0000000000309,00	
8727000	 0000000003364,00	
8910000	 0000002590585,00	
8911000	 0000000000000,00	
8913000	 0000001732422,00	
8914000	 0000000512580,00	
8915000	 0000000345583,00	
