027	CORPBANCA
8110000	 0000000507185,00	
8111000	 0000000000000,00	
8113000	 0000000434622,00	
8114000	 0000000037515,00	
8115000	 0000000035048,00	
8130000	 0000000008648,00	
8131000	 0000000000000,00	
8133000	 0000000002363,00	
8134000	 0000000000203,00	
8135000	 0000000006082,00	
8140000	 0000000001092,00	
8141000	 0000000000000,00	
8143000	 0000000000359,00	
8144000	 0000000000042,00	
8145000	 0000000000691,00	
8310000	 0000003265216,00	
8311000	 0000000168662,00	
8312000	 0000000001173,00	
8314000	 0000000030281,00	
8315000	 0000000866704,00	
8315100	 0000000575760,00	
8315200	 0000000290944,00	
8317000	 0000001571955,00	
8318000	 0000000626441,00	
8318100	 0000000355907,00	
8318900	 0000000270534,00	
8319000	 0000000000000,00	
8510000	 0000008806074,00	
8511000	 0000000083391,00	
8513000	 0000008722683,00	
8520000	 0000000345519,00	
8521000	 0000000000000,00	
8523000	 0000000345519,00	
8530000	 0000000264518,00	
8531000	 0000000000000,00	
8533000	 0000000264518,00	
8540000	 0000005147066,00	
8543000	 0000001310505,00	
8544000	 0000002178014,00	
8545000	 0000001658547,00	
8560000	 0000000146345,00	
8563000	 0000000073782,00	
8564000	 0000000037515,00	
8565000	 0000000035048,00	
8610000	 0000001470107,00	
8620000	 0000000023330,00	
8630000	 0000000012734,00	
8640000	 0000001757844,00	
8660000	 0000000001201,00	
