504	BANCO BILBAO VIZCAYA ARGENTARIA CHILE
8110000	 0000000278338,00	
8111000	 0000000000000,00	
8113000	 0000000095047,00	
8114000	 0000000134136,00	
8115000	 0000000049155,00	
8130000	 0000000020521,00	
8131000	 0000000000000,00	
8133000	 0000000002326,00	
8134000	 0000000001120,00	
8135000	 0000000017075,00	
8140000	 0000000004780,00	
8141000	 0000000000000,00	
8143000	 0000000000262,00	
8144000	 0000000000487,00	
8145000	 0000000004031,00	
8310000	 0000002363610,00	
8311000	 0000000069811,00	
8312000	 0000000012087,00	
8314000	 0000000044951,00	
8315000	 0000000595525,00	
8315100	 0000000478566,00	
8315200	 0000000116959,00	
8317000	 0000001449322,00	
8318000	 0000000191914,00	
8318100	 0000000000000,00	
8318900	 0000000191914,00	
8319000	 0000000000000,00	
8510000	 0000003809286,00	
8511000	 0000000034525,00	
8513000	 0000003774761,00	
8520000	 0000000102604,00	
8521000	 0000000000000,00	
8523000	 0000000102604,00	
8530000	 0000000046856,00	
8531000	 0000000000000,00	
8533000	 0000000046856,00	
8540000	 0000004725900,00	
8543000	 0000000449951,00	
8544000	 0000003215672,00	
8545000	 0000001060277,00	
8560000	 0000000218125,00	
8563000	 0000000034834,00	
8564000	 0000000134136,00	
8565000	 0000000049155,00	
8610000	 0000001443053,00	
8620000	 0000000002025,00	
8630000	 0000000000969,00	
8640000	 0000000913224,00	
8660000	 0000000004339,00	
