001	BANCO DE CHILE
8110000	 0000000839398,00	
8111000	 0000000000000,00	
8113000	 0000000490966,00	
8114000	 0000000118887,00	
8115000	 0000000229545,00	
8130000	 0000000088564,00	
8131000	 0000000000000,00	
8133000	 0000000020685,00	
8134000	 0000000000908,00	
8135000	 0000000066971,00	
8140000	 0000000014204,00	
8141000	 0000000000000,00	
8143000	 0000000003584,00	
8144000	 0000000000672,00	
8145000	 0000000009948,00	
8310000	 0000010042052,00	
8311000	 0000000312135,00	
8312000	 0000000062220,00	
8314000	 0000000149730,00	
8315000	 0000002078423,00	
8315100	 0000001746737,00	
8315200	 0000000331686,00	
8317000	 0000007255886,00	
8318000	 0000000183658,00	
8318100	 0000000000000,00	
8318900	 0000000183658,00	
8319000	 0000000000000,00	
8510000	 0000011759368,00	
8511000	 0000000326322,00	
8513000	 0000011433046,00	
8520000	 0000000205617,00	
8521000	 0000000000000,00	
8523000	 0000000205617,00	
8530000	 0000000249088,00	
8531000	 0000000000000,00	
8533000	 0000000249088,00	
8540000	 0000012320362,00	
8543000	 0000002316044,00	
8544000	 0000006429617,00	
8545000	 0000003574701,00	
8560000	 0000000538790,00	
8563000	 0000000190358,00	
8564000	 0000000118887,00	
8565000	 0000000229545,00	
8610000	 0000004257548,00	
8620000	 0000000009092,00	
8630000	 0000000003084,00	
8640000	 0000005756735,00	
8660000	 0000000015593,00	
