028	BANCO BICE
8110000	 0000000081349,00	
8111000	 0000000000000,00	
8113000	 0000000076179,00	
8114000	 0000000002677,00	
8115000	 0000000002493,00	
8130000	 0000000001449,00	
8131000	 0000000000000,00	
8133000	 0000000000818,00	
8134000	 0000000000000,00	
8135000	 0000000000631,00	
8140000	 0000000000626,00	
8141000	 0000000000000,00	
8143000	 0000000000367,00	
8144000	 0000000000097,00	
8145000	 0000000000162,00	
8310000	 0000001153269,00	
8311000	 0000000016183,00	
8312000	 0000000011410,00	
8314000	 0000000034021,00	
8315000	 0000000246594,00	
8315100	 0000000214456,00	
8315200	 0000000032138,00	
8317000	 0000000676522,00	
8318000	 0000000165040,00	
8318100	 0000000000000,00	
8318900	 0000000165040,00	
8319000	 0000000003499,00	
8510000	 0000002942029,00	
8511000	 0000000002493,00	
8513000	 0000002939536,00	
8520000	 0000000122964,00	
8521000	 0000000000000,00	
8523000	 0000000122964,00	
8530000	 0000000041484,00	
8531000	 0000000000000,00	
8533000	 0000000041484,00	
8540000	 0000000970404,00	
8543000	 0000000203949,00	
8544000	 0000000648301,00	
8545000	 0000000118154,00	
8560000	 0000000012605,00	
8563000	 0000000007435,00	
8564000	 0000000002677,00	
8565000	 0000000002493,00	
8610000	 0000000853264,00	
8620000	 0000000025202,00	
8630000	 0000000000286,00	
8640000	 0000000274343,00	
8660000	 0000000000174,00	
