009	BANCO INTERNACIONAL
8110000	 0000000054837,00	
8111000	 0000000000000,00	
8113000	 0000000052937,00	
8114000	 0000000001433,00	
8115000	 0000000000467,00	
8130000	 0000000003274,00	
8131000	 0000000000000,00	
8133000	 0000000002954,00	
8134000	 0000000000012,00	
8135000	 0000000000308,00	
8140000	 0000000000974,00	
8141000	 0000000000000,00	
8143000	 0000000000694,00	
8144000	 0000000000000,00	
8145000	 0000000000280,00	
8310000	 0000000084685,00	
8311000	 0000000001473,00	
8312000	 0000000000000,00	
8314000	 0000000002668,00	
8315000	 0000000045750,00	
8315100	 0000000040393,00	
8315200	 0000000005357,00	
8317000	 0000000034794,00	
8318000	 0000000000000,00	
8318100	 0000000000000,00	
8318900	 0000000000000,00	
8319000	 0000000000000,00	
8510000	 0000000693608,00	
8511000	 0000000000000,00	
8513000	 0000000693608,00	
8520000	 0000000087391,00	
8521000	 0000000000000,00	
8523000	 0000000087391,00	
8530000	 0000000043325,00	
8531000	 0000000000000,00	
8533000	 0000000043325,00	
8540000	 0000000031991,00	
8543000	 0000000007261,00	
8544000	 0000000019161,00	
8545000	 0000000005569,00	
8560000	 0000000002737,00	
8563000	 0000000000837,00	
8564000	 0000000001433,00	
8565000	 0000000000467,00	
8610000	 0000000066917,00	
8620000	 0000000009733,00	
8630000	 0000000000383,00	
8640000	 0000000007619,00	
8660000	 0000000000033,00	
