051	BANCO FALABELLA
8110000	 0000000078493,00	
8111000	 0000000000000,00	
8113000	 0000000009845,00	
8114000	 0000000025823,00	
8115000	 0000000042825,00	
8130000	 0000000031635,00	
8131000	 0000000000000,00	
8133000	 0000000000715,00	
8134000	 0000000000425,00	
8135000	 0000000030495,00	
8140000	 0000000008846,00	
8141000	 0000000000000,00	
8143000	 0000000001846,00	
8144000	 0000000000228,00	
8145000	 0000000006772,00	
8310000	 0000000192782,00	
8311000	 0000000000000,00	
8312000	 0000000000000,00	
8314000	 0000000000000,00	
8315000	 0000000000000,00	
8315100	 0000000000000,00	
8315200	 0000000000000,00	
8317000	 0000000191536,00	
8318000	 0000000001246,00	
8318100	 0000000001246,00	
8318900	 0000000000000,00	
8319000	 0000000000000,00	
8510000	 0000000000000,00	
8511000	 0000000000000,00	
8513000	 0000000000000,00	
8520000	 0000000000000,00	
8521000	 0000000000000,00	
8523000	 0000000000000,00	
8530000	 0000000000000,00	
8531000	 0000000000000,00	
8533000	 0000000000000,00	
8540000	 0000001404860,00	
8543000	 0000000120644,00	
8544000	 0000000400131,00	
8545000	 0000000884085,00	
8560000	 0000000078493,00	
8563000	 0000000009845,00	
8564000	 0000000025823,00	
8565000	 0000000042825,00	
8610000	 0000000001700,00	
8620000	 0000000000000,00	
8630000	 0000000000000,00	
8640000	 0000000190469,00	
8660000	 0000000000613,00	
