014	SCOTIABANK CHILE
8110000	 0000000478323,00	
8111000	 0000000000000,00	
8113000	 0000000224067,00	
8114000	 0000000173850,00	
8115000	 0000000080406,00	
8130000	 0000000084559,00	
8131000	 0000000000000,00	
8133000	 0000000013791,00	
8134000	 0000000001733,00	
8135000	 0000000069035,00	
8140000	 0000000035009,00	
8141000	 0000000000000,00	
8143000	 0000000007174,00	
8144000	 0000000002618,00	
8145000	 0000000025217,00	
8310000	 0000003498378,00	
8311000	 0000000138192,00	
8312000	 0000000002485,00	
8314000	 0000000043864,00	
8315000	 0000000339376,00	
8315100	 0000000151014,00	
8315200	 0000000188362,00	
8317000	 0000002755128,00	
8318000	 0000000219333,00	
8318100	 0000000219333,00	
8318900	 0000000000000,00	
8319000	 0000000000000,00	
8510000	 0000002744161,00	
8511000	 0000000046689,00	
8513000	 0000002697472,00	
8520000	 0000000139127,00	
8521000	 0000000000000,00	
8523000	 0000000139127,00	
8530000	 0000000045820,00	
8531000	 0000000000000,00	
8533000	 0000000045820,00	
8540000	 0000005222425,00	
8543000	 0000001057517,00	
8544000	 0000002822669,00	
8545000	 0000001342239,00	
8560000	 0000000354443,00	
8563000	 0000000100187,00	
8564000	 0000000173850,00	
8565000	 0000000080406,00	
8610000	 0000000607894,00	
8620000	 0000000004374,00	
8630000	 0000000000016,00	
8640000	 0000002877463,00	
8660000	 0000000008631,00	
