012	BANCO DEL ESTADO DE CHILE
8110000	 0000001676281,00	
8111000	 0000000000000,00	
8113000	 0000000453303,00	
8114000	 0000001069429,00	
8115000	 0000000153549,00	
8130000	 0000000139114,00	
8131000	 0000000000000,00	
8133000	 0000000043365,00	
8134000	 0000000013296,00	
8135000	 0000000082453,00	
8140000	 0000000067214,00	
8141000	 0000000000000,00	
8143000	 0000000024665,00	
8144000	 0000000022080,00	
8145000	 0000000020469,00	
8310000	 0000004182690,00	
8311000	 0000000334657,00	
8312000	 0000000201686,00	
8314000	 0000000063488,00	
8315000	 0000001300543,00	
8315100	 0000001105550,00	
8315200	 0000000194993,00	
8317000	 0000001208675,00	
8318000	 0000001073641,00	
8318100	 0000000716461,00	
8318900	 0000000357180,00	
8319000	 0000000000000,00	
8510000	 0000008529198,00	
8511000	 0000000503077,00	
8513000	 0000008026121,00	
8520000	 0000000340225,00	
8521000	 0000000000000,00	
8523000	 0000000340225,00	
8530000	 0000000132774,00	
8531000	 0000000000000,00	
8533000	 0000000132774,00	
8540000	 0000010924535,00	
8543000	 0000002603664,00	
8544000	 0000006855218,00	
8545000	 0000001465653,00	
8560000	 0000001444131,00	
8563000	 0000000221153,00	
8564000	 0000001069429,00	
8565000	 0000000153549,00	
8610000	 0000002569047,00	
8620000	 0000000025723,00	
8630000	 0000000000563,00	
8640000	 0000001579718,00	
8660000	 0000000007639,00	
