999	SISTEMA FINANCIERO
8110000	 0000007549392,00	
8111000	 0000000000000,00	
8113000	 0000004035652,00	
8114000	 0000002223924,00	
8115000	 0000001289816,00	
8130000	 0000001331648,00	
8131000	 0000000000000,00	
8133000	 0000000395993,00	
8134000	 0000000047002,00	
8135000	 0000000888653,00	
8140000	 0000000329043,00	
8141000	 0000000000000,00	
8143000	 0000000100441,00	
8144000	 0000000040872,00	
8145000	 0000000187730,00	
8310000	 0000045714836,00	
8311000	 0000001347871,00	
8312000	 0000000341427,00	
8314000	 0000000782048,00	
8315000	 0000009116893,00	
8315100	 0000006966775,00	
8315200	 0000002150118,00	
8317000	 0000030060641,00	
8318000	 0000004051307,00	
8318100	 0000001903619,00	
8318900	 0000002147688,00	
8319000	 0000000014649,00	
8510000	 0000067485971,00	
8511000	 0000001687552,00	
8513000	 0000065798419,00	
8520000	 0000004040657,00	
8521000	 0000000000000,00	
8523000	 0000004040657,00	
8530000	 0000001808759,00	
8531000	 0000000000000,00	
8533000	 0000001808759,00	
8540000	 0000070770108,00	
8543000	 0000014501837,00	
8544000	 0000037988210,00	
8545000	 0000018280061,00	
8560000	 0000004871659,00	
8563000	 0000001357923,00	
8564000	 0000002223924,00	
8565000	 0000001289812,00	
8610000	 0000019484555,00	
8620000	 0000000256295,00	
8630000	 0000000030612,00	
8640000	 0000025881087,00	
8660000	 0000000062287,00	
