037	BANCO SANTANDER-CHILE
8110000	 0000001615097,00	
8111000	 0000000000000,00	
8113000	 0000000932156,00	
8114000	 0000000397004,00	
8115000	 0000000285937,00	
8130000	 0000000358539,00	
8131000	 0000000000000,00	
8133000	 0000000140437,00	
8134000	 0000000018211,00	
8135000	 0000000199891,00	
8140000	 0000000072132,00	
8141000	 0000000000000,00	
8143000	 0000000024886,00	
8144000	 0000000009292,00	
8145000	 0000000037954,00	
8310000	 0000009975427,00	
8311000	 0000000129837,00	
8312000	 0000000062231,00	
8314000	 0000000170914,00	
8315000	 0000001701627,00	
8315100	 0000001036159,00	
8315200	 0000000665468,00	
8317000	 0000007522298,00	
8318000	 0000000388520,00	
8318100	 0000000015285,00	
8318900	 0000000373235,00	
8319000	 0000000000000,00	
8510000	 0000010165357,00	
8511000	 0000000270934,00	
8513000	 0000009894423,00	
8520000	 0000000527414,00	
8521000	 0000000000000,00	
8523000	 0000000527414,00	
8530000	 0000000452879,00	
8531000	 0000000000000,00	
8533000	 0000000452879,00	
8540000	 0000015014921,00	
8543000	 0000002724370,00	
8544000	 0000008167731,00	
8545000	 0000004122820,00	
8560000	 0000001019130,00	
8563000	 0000000336189,00	
8564000	 0000000397004,00	
8565000	 0000000285937,00	
8610000	 0000004053317,00	
8620000	 0000000062172,00	
8630000	 0000000012217,00	
8640000	 0000005839312,00	
8660000	 0000000008409,00	
