039	ITAÚ CORPBANCA
8110000	 0000001000775,00	
8111000	 0000000000000,00	
8113000	 0000000812759,00	
8114000	 0000000104145,00	
8115000	 0000000083871,00	
8130000	 0000000184332,00	
8131000	 0000000000000,00	
8133000	 0000000082002,00	
8134000	 0000000003952,00	
8135000	 0000000098378,00	
8140000	 0000000020415,00	
8141000	 0000000000000,00	
8143000	 0000000008075,00	
8144000	 0000000001149,00	
8145000	 0000000011191,00	
8310000	 0000005512470,00	
8311000	 0000000272748,00	
8312000	 0000000000285,00	
8314000	 0000000078249,00	
8315000	 0000001121963,00	
8315100	 0000000795881,00	
8315200	 0000000326082,00	
8317000	 0000002594326,00	
8318000	 0000001444899,00	
8318100	 0000000885942,00	
8318900	 0000000558957,00	
8319000	 0000000000000,00	
8510000	 0000011767555,00	
8511000	 0000000125210,00	
8513000	 0000011642345,00	
8520000	 0000000701520,00	
8521000	 0000000000000,00	
8523000	 0000000701520,00	
8530000	 0000000379978,00	
8531000	 0000000000000,00	
8533000	 0000000379978,00	
8540000	 0000008175133,00	
8543000	 0000002063901,00	
8544000	 0000003748140,00	
8545000	 0000002363092,00	
8560000	 0000000326119,00	
8563000	 0000000138103,00	
8564000	 0000000104145,00	
8565000	 0000000083871,00	
8610000	 0000002507874,00	
8620000	 0000000061427,00	
8630000	 0000000003561,00	
8640000	 0000002935800,00	
8660000	 0000000003808,00	
