016	BANCO DE CRÉDITO E INVERSIONES
8110000	 0000001006524,00	
8111000	 0000000000000,00	
8113000	 0000000581469,00	
8114000	 0000000175266,00	
8115000	 0000000249789,00	
8130000	 0000000191267,00	
8131000	 0000000000000,00	
8133000	 0000000068957,00	
8134000	 0000000007456,00	
8135000	 0000000114854,00	
8140000	 0000000045494,00	
8141000	 0000000000000,00	
8143000	 0000000019623,00	
8144000	 0000000002579,00	
8145000	 0000000023292,00	
8310000	 0000006396575,00	
8311000	 0000000081627,00	
8312000	 0000000003694,00	
8314000	 0000000215431,00	
8315000	 0000001307715,00	
8315100	 0000000975211,00	
8315200	 0000000332504,00	
8317000	 0000004573760,00	
8318000	 0000000214348,00	
8318100	 0000000030288,00	
8318900	 0000000184060,00	
8319000	 0000000000000,00	
8510000	 0000011029849,00	
8511000	 0000000223660,00	
8513000	 0000010806189,00	
8520000	 0000000705471,00	
8521000	 0000000000000,00	
8523000	 0000000705471,00	
8530000	 0000000234443,00	
8531000	 0000000000000,00	
8533000	 0000000234443,00	
8540000	 0000009841788,00	
8543000	 0000002622455,00	
8544000	 0000004824651,00	
8545000	 0000002394682,00	
8560000	 0000000735655,00	
8563000	 0000000310600,00	
8564000	 0000000175266,00	
8565000	 0000000249789,00	
8610000	 0000002859812,00	
8620000	 0000000122731,00	
8630000	 0000000005405,00	
8640000	 0000003398686,00	
8660000	 0000000009941,00	
