039	ITAÚ CORPBANCA
8110000	 0000001040645,00	
8111000	 0000000000000,00	
8113000	 0000000825529,00	
8114000	 0000000121504,00	
8115000	 0000000093612,00	
8130000	 0000000031753,00	
8131000	 0000000000000,00	
8133000	 0000000022621,00	
8134000	 0000000000220,00	
8135000	 0000000008912,00	
8140000	 0000000001986,00	
8141000	 0000000000000,00	
8143000	 0000000000744,00	
8144000	 0000000000151,00	
8145000	 0000000001091,00	
8310000	 0000005249755,00	
8311000	 0000000247314,00	
8312000	 0000000000234,00	
8314000	 0000000053901,00	
8315000	 0000001163239,00	
8315100	 0000000846817,00	
8315200	 0000000316422,00	
8317000	 0000002570704,00	
8318000	 0000001214363,00	
8318100	 0000000849890,00	
8318900	 0000000364473,00	
8319000	 0000000000000,00	
8510000	 0000011288103,00	
8511000	 0000000172362,00	
8513000	 0000011115741,00	
8520000	 0000000777193,00	
8521000	 0000000000000,00	
8523000	 0000000777193,00	
8530000	 0000000395830,00	
8531000	 0000000000000,00	
8533000	 0000000395830,00	
8540000	 0000008158063,00	
8543000	 0000002012038,00	
8544000	 0000003762808,00	
8545000	 0000002383217,00	
8560000	 0000000356513,00	
8563000	 0000000141397,00	
8564000	 0000000121504,00	
8565000	 0000000093612,00	
8610000	 0000002232146,00	
8620000	 0000000110376,00	
8630000	 0000000003652,00	
8640000	 0000002899115,00	
8660000	 0000000004466,00	
