028	BANCO BICE
8110000	 0000000072311,00	
8111000	 0000000000000,00	
8113000	 0000000064424,00	
8114000	 0000000004935,00	
8115000	 0000000002952,00	
8130000	 0000000002658,00	
8131000	 0000000000000,00	
8133000	 0000000001293,00	
8134000	 0000000000206,00	
8135000	 0000000001159,00	
8140000	 0000000000605,00	
8141000	 0000000000000,00	
8143000	 0000000000301,00	
8144000	 0000000000002,00	
8145000	 0000000000302,00	
8310000	 0000001295056,00	
8311000	 0000000015404,00	
8312000	 0000000010150,00	
8314000	 0000000034392,00	
8315000	 0000000268888,00	
8315100	 0000000232713,00	
8315200	 0000000036175,00	
8317000	 0000000769653,00	
8318000	 0000000192699,00	
8318100	 0000000000000,00	
8318900	 0000000192699,00	
8319000	 0000000003870,00	
8510000	 0000003295113,00	
8511000	 0000000000000,00	
8513000	 0000003295113,00	
8520000	 0000000187568,00	
8521000	 0000000000000,00	
8523000	 0000000187568,00	
8530000	 0000000050055,00	
8531000	 0000000000000,00	
8533000	 0000000050055,00	
8540000	 0000001148480,00	
8543000	 0000000203306,00	
8544000	 0000000819599,00	
8545000	 0000000125575,00	
8560000	 0000000015183,00	
8563000	 0000000007296,00	
8564000	 0000000004935,00	
8565000	 0000000002952,00	
8610000	 0000000949289,00	
8620000	 0000000030783,00	
8630000	 0000000000926,00	
8640000	 0000000313538,00	
8660000	 0000000000520,00	
