016	BANCO DE CRÉDITO E INVERSIONES
8110000	 0000001245714,00	
8111000	 0000000000000,00	
8113000	 0000000785089,00	
8114000	 0000000174169,00	
8115000	 0000000286456,00	
8130000	 0000000191625,00	
8131000	 0000000000000,00	
8133000	 0000000064989,00	
8134000	 0000000006728,00	
8135000	 0000000119908,00	
8140000	 0000000044393,00	
8141000	 0000000000000,00	
8143000	 0000000019259,00	
8144000	 0000000002768,00	
8145000	 0000000022366,00	
8310000	 0000007049700,00	
8311000	 0000000093198,00	
8312000	 0000000000483,00	
8314000	 0000000144307,00	
8315000	 0000001316355,00	
8315100	 0000001012138,00	
8315200	 0000000304217,00	
8317000	 0000005032292,00	
8318000	 0000000463065,00	
8318100	 0000000019036,00	
8318900	 0000000444029,00	
8319000	 0000000000000,00	
8510000	 0000011709775,00	
8511000	 0000000174799,00	
8513000	 0000011534976,00	
8520000	 0000000551318,00	
8521000	 0000000000000,00	
8523000	 0000000551318,00	
8530000	 0000000358368,00	
8531000	 0000000000000,00	
8533000	 0000000358368,00	
8540000	 0000011136591,00	
8543000	 0000002954724,00	
8544000	 0000005601692,00	
8545000	 0000002580175,00	
8560000	 0000000784381,00	
8563000	 0000000323756,00	
8564000	 0000000174169,00	
8565000	 0000000286456,00	
8610000	 0000003225470,00	
8620000	 0000000036188,00	
8630000	 0000000004214,00	
8640000	 0000003773767,00	
8660000	 0000000010061,00	
