049	BANCO SECURITY
8110000	 0000000229787,00	
8111000	 0000000000000,00	
8113000	 0000000209878,00	
8114000	 0000000007309,00	
8115000	 0000000012600,00	
8130000	 0000000041626,00	
8131000	 0000000000000,00	
8133000	 0000000023425,00	
8134000	 0000000000479,00	
8135000	 0000000017722,00	
8140000	 0000000002553,00	
8141000	 0000000000000,00	
8143000	 0000000000818,00	
8144000	 0000000000000,00	
8145000	 0000000001735,00	
8310000	 0000001068970,00	
8311000	 0000000004892,00	
8312000	 0000000000000,00	
8314000	 0000000014960,00	
8315000	 0000000224979,00	
8315100	 0000000208040,00	
8315200	 0000000016939,00	
8317000	 0000000824139,00	
8318000	 0000000000000,00	
8318100	 0000000000000,00	
8318900	 0000000000000,00	
8319000	 0000000000000,00	
8510000	 0000002507822,00	
8511000	 0000000000000,00	
8513000	 0000002507822,00	
8520000	 0000000831359,00	
8521000	 0000000000000,00	
8523000	 0000000831359,00	
8530000	 0000000136446,00	
8531000	 0000000000000,00	
8533000	 0000000136446,00	
8540000	 0000001325854,00	
8543000	 0000000286892,00	
8544000	 0000000611321,00	
8545000	 0000000427641,00	
8560000	 0000000032809,00	
8563000	 0000000012900,00	
8564000	 0000000007309,00	
8565000	 0000000012600,00	
8610000	 0000000386764,00	
8620000	 0000000017000,00	
8630000	 0000000005812,00	
8640000	 0000000659150,00	
8660000	 0000000000244,00	
