051	BANCO FALABELLA
8110000	 0000000098819,00	
8111000	 0000000000000,00	
8113000	 0000000009075,00	
8114000	 0000000029014,00	
8115000	 0000000060730,00	
8130000	 0000000077128,00	
8131000	 0000000000000,00	
8133000	 0000000002240,00	
8134000	 0000000001147,00	
8135000	 0000000073741,00	
8140000	 0000000014979,00	
8141000	 0000000000000,00	
8143000	 0000000002012,00	
8144000	 0000000000892,00	
8145000	 0000000012075,00	
8310000	 0000000226531,00	
8311000	 0000000000000,00	
8312000	 0000000000000,00	
8314000	 0000000000000,00	
8315000	 0000000000000,00	
8315100	 0000000000000,00	
8315200	 0000000000000,00	
8317000	 0000000226045,00	
8318000	 0000000000486,00	
8318100	 0000000000486,00	
8318900	 0000000000000,00	
8319000	 0000000000000,00	
8510000	 0000000000003,00	
8511000	 0000000000000,00	
8513000	 0000000000003,00	
8520000	 0000000000000,00	
8521000	 0000000000000,00	
8523000	 0000000000000,00	
8530000	 0000000000000,00	
8531000	 0000000000000,00	
8533000	 0000000000000,00	
8540000	 0000001544996,00	
8543000	 0000000099141,00	
8544000	 0000000414162,00	
8545000	 0000001031693,00	
8560000	 0000000098819,00	
8563000	 0000000009075,00	
8564000	 0000000029014,00	
8565000	 0000000060730,00	
8610000	 0000000001700,00	
8620000	 0000000000000,00	
8630000	 0000000000000,00	
8640000	 0000000224484,00	
8660000	 0000000000347,00	
