012	BANCO DEL ESTADO DE CHILE
8110000	 0000001693083,00	
8111000	 0000000000000,00	
8113000	 0000000457967,00	
8114000	 0000001032796,00	
8115000	 0000000202320,00	
8130000	 0000000042814,00	
8131000	 0000000000000,00	
8133000	 0000000018969,00	
8134000	 0000000002599,00	
8135000	 0000000021246,00	
8140000	 0000000011857,00	
8141000	 0000000000000,00	
8143000	 0000000004336,00	
8144000	 0000000003583,00	
8145000	 0000000003938,00	
8310000	 0000004514329,00	
8311000	 0000000636230,00	
8312000	 0000000061829,00	
8314000	 0000000055922,00	
8315000	 0000001375976,00	
8315100	 0000001178071,00	
8315200	 0000000197905,00	
8317000	 0000001493737,00	
8318000	 0000000890635,00	
8318100	 0000000447970,00	
8318900	 0000000442665,00	
8319000	 0000000000000,00	
8510000	 0000008278907,00	
8511000	 0000000457859,00	
8513000	 0000007821048,00	
8520000	 0000000320591,00	
8521000	 0000000000000,00	
8523000	 0000000320591,00	
8530000	 0000000140646,00	
8531000	 0000000000000,00	
8533000	 0000000140646,00	
8540000	 0000012405982,00	
8543000	 0000002776594,00	
8544000	 0000007954908,00	
8545000	 0000001674480,00	
8560000	 0000001523637,00	
8563000	 0000000288521,00	
8564000	 0000001032796,00	
8565000	 0000000202320,00	
8610000	 0000003029209,00	
8620000	 0000000039016,00	
8630000	 0000000003163,00	
8640000	 0000001432458,00	
8660000	 0000000010483,00	
