504	BANCO BILBAO VIZCAYA ARGENTARIA CHILE
8110000	 0000000301938,00	
8111000	 0000000000000,00	
8113000	 0000000128154,00	
8114000	 0000000119426,00	
8115000	 0000000054358,00	
8130000	 0000000023239,00	
8131000	 0000000000000,00	
8133000	 0000000003823,00	
8134000	 0000000001338,00	
8135000	 0000000018078,00	
8140000	 0000000005382,00	
8141000	 0000000000000,00	
8143000	 0000000000549,00	
8144000	 0000000000432,00	
8145000	 0000000004401,00	
8310000	 0000002691604,00	
8311000	 0000000079431,00	
8312000	 0000000009232,00	
8314000	 0000000071085,00	
8315000	 0000000831932,00	
8315100	 0000000741797,00	
8315200	 0000000090135,00	
8317000	 0000001594679,00	
8318000	 0000000105245,00	
8318100	 0000000000000,00	
8318900	 0000000105245,00	
8319000	 0000000000000,00	
8510000	 0000004013183,00	
8511000	 0000000011861,00	
8513000	 0000004001322,00	
8520000	 0000000075385,00	
8521000	 0000000000000,00	
8523000	 0000000075385,00	
8530000	 0000000078147,00	
8531000	 0000000000000,00	
8533000	 0000000078147,00	
8540000	 0000005388374,00	
8543000	 0000000514588,00	
8544000	 0000003726368,00	
8545000	 0000001147418,00	
8560000	 0000000209924,00	
8563000	 0000000036140,00	
8564000	 0000000119426,00	
8565000	 0000000054358,00	
8610000	 0000001601068,00	
8620000	 0000000001629,00	
8630000	 0000000003639,00	
8640000	 0000001080036,00	
8660000	 0000000005232,00	
