009	BANCO INTERNACIONAL
8110000	 0000000133821,00	
8111000	 0000000000000,00	
8113000	 0000000129845,00	
8114000	 0000000003518,00	
8115000	 0000000000458,00	
8130000	 0000000004906,00	
8131000	 0000000000000,00	
8133000	 0000000004038,00	
8134000	 0000000000218,00	
8135000	 0000000000650,00	
8140000	 0000000001736,00	
8141000	 0000000000000,00	
8143000	 0000000001469,00	
8144000	 0000000000050,00	
8145000	 0000000000217,00	
8310000	 0000000277312,00	
8311000	 0000000000730,00	
8312000	 0000000000000,00	
8314000	 0000000006309,00	
8315000	 0000000068857,00	
8315100	 0000000067064,00	
8315200	 0000000001793,00	
8317000	 0000000067506,00	
8318000	 0000000133910,00	
8318100	 0000000133910,00	
8318900	 0000000000000,00	
8319000	 0000000000000,00	
8510000	 0000001238149,00	
8511000	 0000000000000,00	
8513000	 0000001238149,00	
8520000	 0000000097742,00	
8521000	 0000000000000,00	
8523000	 0000000097742,00	
8530000	 0000000092574,00	
8531000	 0000000000000,00	
8533000	 0000000092574,00	
8540000	 0000000073811,00	
8543000	 0000000041775,00	
8544000	 0000000026203,00	
8545000	 0000000005833,00	
8560000	 0000000004915,00	
8563000	 0000000000939,00	
8564000	 0000000003518,00	
8565000	 0000000000458,00	
8610000	 0000000128631,00	
8620000	 0000000006123,00	
8630000	 0000000000574,00	
8640000	 0000000141927,00	
8660000	 0000000000057,00	
