012	BANCO DEL ESTADO DE CHILE
8110000	 0000002428876,00	
8111000	 0000000000000,00	
8113000	 0000000868726,00	
8114000	 0000001293681,00	
8115000	 0000000266469,00	
8130000	 0000000280716,00	
8131000	 0000000000000,00	
8133000	 0000000122398,00	
8134000	 0000000024095,00	
8135000	 0000000134223,00	
8140000	 0000000064272,00	
8141000	 0000000000000,00	
8143000	 0000000025702,00	
8144000	 0000000011561,00	
8145000	 0000000027009,00	
8310000	 0000004535872,00	
8311000	 0000000508186,00	
8312000	 0000000117344,00	
8314000	 0000000102523,00	
8315000	 0000001310855,00	
8315100	 0000001112122,00	
8315200	 0000000198733,00	
8317000	 0000001692848,00	
8318000	 0000000804116,00	
8318100	 0000000487813,00	
8318900	 0000000316303,00	
8319000	 0000000000000,00	
8510000	 0000010127290,00	
8511000	 0000000549711,00	
8513000	 0000009577579,00	
8520000	 0000000488908,00	
8521000	 0000000000000,00	
8523000	 0000000488908,00	
8530000	 0000000280754,00	
8531000	 0000000000000,00	
8533000	 0000000280754,00	
8540000	 0000014560780,00	
8543000	 0000003723771,00	
8544000	 0000009143956,00	
8545000	 0000001693053,00	
8560000	 0000002110559,00	
8563000	 0000000550409,00	
8564000	 0000001293681,00	
8565000	 0000000266469,00	
8610000	 0000002836668,00	
8620000	 0000000044452,00	
8630000	 0000000001921,00	
8640000	 0000001628691,00	
8660000	 0000000024140,00	
8700000	 0000000044713,00	
8710000	 0000000050436,00	
8711000	 0000000000089,00	
8712000	 0000000047497,00	
8713000	 0000000000175,00	
8714000	 0000000000214,00	
8715000	 0000000000831,00	
8716000	 0000000001293,00	
8717000	 0000000000337,00	
8720000	 0000000005723,00	
8721000	 0000000000000,00	
8722000	 0000000001398,00	
8723000	 0000000000001,00	
8724000	 0000000000020,00	
8725000	 0000000003826,00	
8726000	 0000000000033,00	
8727000	 0000000000445,00	
8910000	 0000000785035,00	
8911000	 0000000000000,00	
8913000	 0000000311230,00	
8914000	 0000000452061,00	
8915000	 0000000021744,00	
