014	SCOTIABANK CHILE
8110000	 0000001056817,00	
8111000	 0000000000000,00	
8113000	 0000000461124,00	
8114000	 0000000349921,00	
8115000	 0000000245772,00	
8130000	 0000000329807,00	
8131000	 0000000000000,00	
8133000	 0000000046048,00	
8134000	 0000000006391,00	
8135000	 0000000277368,00	
8140000	 0000000061076,00	
8141000	 0000000000000,00	
8143000	 0000000009655,00	
8144000	 0000000003722,00	
8145000	 0000000047699,00	
8310000	 0000006123105,00	
8311000	 0000000191636,00	
8312000	 0000000004986,00	
8314000	 0000000096193,00	
8315000	 0000000755091,00	
8315100	 0000000579429,00	
8315200	 0000000175662,00	
8317000	 0000004909912,00	
8318000	 0000000165287,00	
8318100	 0000000098746,00	
8318900	 0000000066541,00	
8319000	 0000000000000,00	
8510000	 0000010565310,00	
8511000	 0000000001841,00	
8513000	 0000010563469,00	
8520000	 0000000175939,00	
8521000	 0000000000000,00	
8523000	 0000000175939,00	
8530000	 0000000190745,00	
8531000	 0000000000000,00	
8533000	 0000000190745,00	
8540000	 0000014084255,00	
8543000	 0000001751810,00	
8544000	 0000009626178,00	
8545000	 0000002706267,00	
8560000	 0000000812810,00	
8563000	 0000000217117,00	
8564000	 0000000349921,00	
8565000	 0000000245772,00	
8610000	 0000001667383,00	
8620000	 0000000007459,00	
8630000	 0000000003135,00	
8640000	 0000004421027,00	
8660000	 0000000024101,00	
8700000	 0000000011619,00	
8710000	 0000000013692,00	
8711000	 0000000000321,00	
8712000	 0000000007070,00	
8713000	 0000000000086,00	
8714000	 0000000000186,00	
8715000	 0000000001081,00	
8716000	 0000000001528,00	
8717000	 0000000003420,00	
8720000	 0000000002073,00	
8721000	 0000000000000,00	
8722000	 0000000000071,00	
8723000	 0000000000000,00	
8724000	 0000000000000,00	
8725000	 0000000001406,00	
8726000	 0000000000122,00	
8727000	 0000000000474,00	
8910000	 0000000354991,00	
8911000	 0000000000000,00	
8913000	 0000000194115,00	
8914000	 0000000120721,00	
8915000	 0000000040155,00	
