016	BANCO DE CRÉDITO E INVERSIONES
8110000	 0000001555211,00	
8111000	 0000000000000,00	
8113000	 0000000967573,00	
8114000	 0000000243718,00	
8115000	 0000000343920,00	
8130000	 0000000391040,00	
8131000	 0000000000000,00	
8133000	 0000000081819,00	
8134000	 0000000007090,00	
8135000	 0000000302131,00	
8140000	 0000000059500,00	
8141000	 0000000000000,00	
8143000	 0000000016809,00	
8144000	 0000000001818,00	
8145000	 0000000040873,00	
8310000	 0000010445007,00	
8311000	 0000000207559,00	
8312000	 0000000003727,00	
8314000	 0000000377118,00	
8315000	 0000001860937,00	
8315100	 0000001256318,00	
8315200	 0000000604619,00	
8317000	 0000007535155,00	
8318000	 0000000460511,00	
8318100	 0000000004614,00	
8318900	 0000000455897,00	
8319000	 0000000000000,00	
8510000	 0000016862140,00	
8511000	 0000000377775,00	
8513000	 0000016484365,00	
8520000	 0000001643062,00	
8521000	 0000000000000,00	
8523000	 0000001643062,00	
8530000	 0000000401903,00	
8531000	 0000000000000,00	
8533000	 0000000401903,00	
8540000	 0000016960463,00	
8543000	 0000005178530,00	
8544000	 0000008706734,00	
8545000	 0000003075199,00	
8560000	 0000000981271,00	
8563000	 0000000393633,00	
8564000	 0000000243718,00	
8565000	 0000000343920,00	
8610000	 0000004618218,00	
8620000	 0000000121302,00	
8630000	 0000000004551,00	
8640000	 0000005670766,00	
8660000	 0000000030170,00	
8700000	 0000000010610,00	
8710000	 0000000012478,00	
8711000	 0000000000122,00	
8712000	 0000000003792,00	
8713000	 0000000000832,00	
8714000	 0000000002786,00	
8715000	 0000000000353,00	
8716000	 0000000000950,00	
8717000	 0000000003643,00	
8720000	 0000000001868,00	
8721000	 0000000000012,00	
8722000	 0000000000497,00	
8723000	 0000000000000,00	
8724000	 0000000000001,00	
8725000	 0000000001169,00	
8726000	 0000000000129,00	
8727000	 0000000000060,00	
8910000	 0000000464809,00	
8911000	 0000000000000,00	
8913000	 0000000320124,00	
8914000	 0000000073706,00	
8915000	 0000000070979,00	
