037	BANCO SANTANDER-CHILE
8110000	 0000001834916,00	
8111000	 0000000000000,00	
8113000	 0000001171294,00	
8114000	 0000000411088,00	
8115000	 0000000252534,00	
8130000	 0000000370214,00	
8131000	 0000000000000,00	
8133000	 0000000145778,00	
8134000	 0000000014979,00	
8135000	 0000000209457,00	
8140000	 0000000068961,00	
8141000	 0000000000000,00	
8143000	 0000000024144,00	
8144000	 0000000008964,00	
8145000	 0000000035853,00	
8310000	 0000010700189,00	
8311000	 0000000438011,00	
8312000	 0000000020949,00	
8314000	 0000000170554,00	
8315000	 0000001113438,00	
8315100	 0000001017894,00	
8315200	 0000000095544,00	
8317000	 0000008637081,00	
8318000	 0000000320156,00	
8318100	 0000000004546,00	
8318900	 0000000315610,00	
8319000	 0000000000000,00	
8510000	 0000010301103,00	
8511000	 0000000005221,00	
8513000	 0000010295882,00	
8520000	 0000001049456,00	
8521000	 0000000000000,00	
8523000	 0000001049456,00	
8530000	 0000000559321,00	
8531000	 0000000000000,00	
8533000	 0000000559321,00	
8540000	 0000021718550,00	
8543000	 0000005082493,00	
8544000	 0000011937685,00	
8545000	 0000004698372,00	
8560000	 0000001088973,00	
8563000	 0000000425351,00	
8564000	 0000000411088,00	
8565000	 0000000252534,00	
8610000	 0000003384277,00	
8620000	 0000000066403,00	
8630000	 0000000011344,00	
8640000	 0000007234236,00	
8660000	 0000000003929,00	
8700000	 0000000006537,00	
8710000	 0000000009861,00	
8711000	 0000000002277,00	
8712000	 0000000002047,00	
8713000	 0000000000387,00	
8714000	 0000000000284,00	
8715000	 0000000000168,00	
8716000	 0000000000886,00	
8717000	 0000000003812,00	
8720000	 0000000003324,00	
8721000	 0000000001945,00	
8722000	 0000000000022,00	
8723000	 0000000000000,00	
8724000	 0000000000007,00	
8725000	 0000000000973,00	
8726000	 0000000000003,00	
8727000	 0000000000374,00	
8910000	 0000000508339,00	
8911000	 0000000000000,00	
8913000	 0000000349284,00	
8914000	 0000000111955,00	
8915000	 0000000047100,00	
