051	BANCO FALABELLA
8110000	 0000000211329,00	
8111000	 0000000000000,00	
8113000	 0000000008546,00	
8114000	 0000000031436,00	
8115000	 0000000171347,00	
8130000	 0000000327931,00	
8131000	 0000000000000,00	
8133000	 0000000001121,00	
8134000	 0000000000641,00	
8135000	 0000000326169,00	
8140000	 0000000075756,00	
8141000	 0000000000000,00	
8143000	 0000000000539,00	
8144000	 0000000000251,00	
8145000	 0000000074966,00	
8310000	 0000003514810,00	
8311000	 0000000000000,00	
8312000	 0000000000000,00	
8314000	 0000000000000,00	
8315000	 0000000000000,00	
8315100	 0000000000000,00	
8315200	 0000000000000,00	
8317000	 0000003514769,00	
8318000	 0000000000041,00	
8318100	 0000000000041,00	
8318900	 0000000000000,00	
8319000	 0000000000000,00	
8510000	 0000000000000,00	
8511000	 0000000000000,00	
8513000	 0000000000000,00	
8520000	 0000000000000,00	
8521000	 0000000000000,00	
8523000	 0000000000000,00	
8530000	 0000000000000,00	
8531000	 0000000000000,00	
8533000	 0000000000000,00	
8540000	 0000003059138,00	
8543000	 0000000071463,00	
8544000	 0000000497226,00	
8545000	 0000002490449,00	
8560000	 0000000211328,00	
8563000	 0000000008546,00	
8564000	 0000000031435,00	
8565000	 0000000171347,00	
8610000	 0000000002500,00	
8620000	 0000000000000,00	
8630000	 0000000000000,00	
8640000	 0000003506315,00	
8660000	 0000000005995,00	
8700000	 0000000004871,00	
8710000	 0000000005694,00	
8711000	 0000000000013,00	
8712000	 0000000004885,00	
8713000	 0000000000341,00	
8714000	 0000000000059,00	
8715000	 0000000000000,00	
8716000	 0000000000141,00	
8717000	 0000000000255,00	
8720000	 0000000000823,00	
8721000	 0000000000000,00	
8722000	 0000000000788,00	
8723000	 0000000000000,00	
8724000	 0000000000000,00	
8725000	 0000000000012,00	
8726000	 0000000000022,00	
8727000	 0000000000001,00	
8910000	 0000000082241,00	
8911000	 0000000000000,00	
8913000	 0000000006428,00	
8914000	 0000000014108,00	
8915000	 0000000061705,00	
