999	SISTEMA FINANCIERO
8110000	 0000011233120,00	
8111000	 0000000000000,00	
8113000	 0000006426396,00	
8114000	 0000002914515,00	
8115000	 0000001892209,00	
8130000	 0000002481604,00	
8131000	 0000000000000,00	
8133000	 0000000599985,00	
8134000	 0000000070329,00	
8135000	 0000001811290,00	
8140000	 0000000463142,00	
8141000	 0000000000000,00	
8143000	 0000000109328,00	
8144000	 0000000032081,00	
8145000	 0000000321733,00	
8310000	 0000056165415,00	
8311000	 0000002286501,00	
8312000	 0000000291434,00	
8314000	 0000001257143,00	
8315000	 0000009559852,00	
8315100	 0000007513128,00	
8315200	 0000002046724,00	
8317000	 0000039796979,00	
8318000	 0000002944718,00	
8318100	 0000001237228,00	
8318900	 0000001707490,00	
8319000	 0000000028788,00	
8510000	 0000086095231,00	
8511000	 0000001391567,00	
8513000	 0000084703664,00	
8520000	 0000006348512,00	
8521000	 0000000000000,00	
8523000	 0000006348512,00	
8530000	 0000003107241,00	
8531000	 0000000000000,00	
8533000	 0000003107241,00	
8540000	 0000101510394,00	
8543000	 0000022961099,00	
8544000	 0000056648007,00	
8545000	 0000021901288,00	
8560000	 0000006990316,00	
8563000	 0000002183591,00	
8564000	 0000002914514,00	
8565000	 0000001892211,00	
8610000	 0000021022387,00	
8620000	 0000000471610,00	
8630000	 0000000050708,00	
8640000	 0000034492521,00	
8660000	 0000000128189,00	
8700000	 0000000099904,00	
8710000	 0000000122803,00	
8711000	 0000000003186,00	
8712000	 0000000076772,00	
8713000	 0000000005727,00	
8714000	 0000000003602,00	
8715000	 0000000007669,00	
8716000	 0000000005959,00	
8717000	 0000000019888,00	
8720000	 0000000025959,00	
8721000	 0000000001969,00	
8722000	 0000000008089,00	
8723000	 0000000000366,00	
8724000	 0000000000028,00	
8725000	 0000000011248,00	
8726000	 0000000000349,00	
8727000	 0000000003910,00	
8910000	 0000003353046,00	
8911000	 0000000000000,00	
8913000	 0000002053542,00	
8914000	 0000000948651,00	
8915000	 0000000350853,00	
