037	BANCO SANTANDER-CHILE
8110000	 0000001772212,00	
8111000	 0000000000000,00	
8113000	 0000001134888,00	
8114000	 0000000403202,00	
8115000	 0000000234122,00	
8130000	 0000000021188,00	
8131000	 0000000000000,00	
8133000	 0000000009119,00	
8134000	 0000000001277,00	
8135000	 0000000010792,00	
8140000	 0000000005602,00	
8141000	 0000000000000,00	
8143000	 0000000001118,00	
8144000	 0000000001001,00	
8145000	 0000000003483,00	
8310000	 0000010674348,00	
8311000	 0000000420289,00	
8312000	 0000000048977,00	
8314000	 0000000186330,00	
8315000	 0000001110209,00	
8315100	 0000001011440,00	
8315200	 0000000098769,00	
8317000	 0000008500496,00	
8318000	 0000000408047,00	
8318100	 0000000004222,00	
8318900	 0000000403825,00	
8319000	 0000000000000,00	
8510000	 0000009754386,00	
8511000	 0000000006105,00	
8513000	 0000009748281,00	
8520000	 0000001127470,00	
8521000	 0000000000000,00	
8523000	 0000001127470,00	
8530000	 0000000544799,00	
8531000	 0000000000000,00	
8533000	 0000000544799,00	
8540000	 0000021748111,00	
8543000	 0000005050657,00	
8544000	 0000012069391,00	
8545000	 0000004628063,00	
8560000	 0000001042498,00	
8563000	 0000000405174,00	
8564000	 0000000403202,00	
8565000	 0000000234122,00	
8610000	 0000003403288,00	
8620000	 0000000089359,00	
8630000	 0000000007918,00	
8640000	 0000007169652,00	
8660000	 0000000004131,00	
8700000	 0000000000012,00	
8710000	 0000000000117,00	
8711000	 0000000000004,00	
8712000	 0000000000008,00	
8713000	 0000000000013,00	
8714000	 0000000000002,00	
8715000	 0000000000000,00	
8716000	 0000000000001,00	
8717000	 0000000000089,00	
8720000	 0000000000129,00	
8721000	 0000000000000,00	
8722000	 0000000000008,00	
8723000	 0000000000000,00	
8724000	 0000000000000,00	
8725000	 0000000000000,00	
8726000	 0000000000000,00	
8727000	 0000000000121,00	
8910000	 0000000454306,00	
8911000	 0000000000000,00	
8913000	 0000000319933,00	
8914000	 0000000090332,00	
8915000	 0000000044041,00	
