999	SISTEMA FINANCIERO
8110000	 0000010681345,00	
8111000	 0000000000000,00	
8113000	 0000006317319,00	
8114000	 0000002821755,00	
8115000	 0000001542271,00	
8130000	 0000000405505,00	
8131000	 0000000000000,00	
8133000	 0000000135729,00	
8134000	 0000000020169,00	
8135000	 0000000249607,00	
8140000	 0000000138729,00	
8141000	 0000000000000,00	
8143000	 0000000028066,00	
8144000	 0000000007718,00	
8145000	 0000000102945,00	
8310000	 0000057390597,00	
8311000	 0000002395801,00	
8312000	 0000000290972,00	
8314000	 0000001360994,00	
8315000	 0000009566672,00	
8315100	 0000007601410,00	
8315200	 0000001965262,00	
8317000	 0000040625761,00	
8318000	 0000003142122,00	
8318100	 0000001308680,00	
8318900	 0000001833442,00	
8319000	 0000000008275,00	
8510000	 0000082796670,00	
8511000	 0000001447693,00	
8513000	 0000081348977,00	
8520000	 0000006672119,00	
8521000	 0000000000000,00	
8523000	 0000006672119,00	
8530000	 0000003124548,00	
8531000	 0000000000000,00	
8533000	 0000003124548,00	
8540000	 0000104151607,00	
8543000	 0000023402624,00	
8544000	 0000058822234,00	
8545000	 0000021926749,00	
8560000	 0000006432210,00	
8563000	 0000002068184,00	
8564000	 0000002821755,00	
8565000	 0000001542271,00	
8610000	 0000021271413,00	
8620000	 0000000432453,00	
8630000	 0000000056406,00	
8640000	 0000035513195,00	
8660000	 0000000117130,00	
8700000	 0000000019166,00	
8710000	 0000000025895,00	
8711000	 0000000000075,00	
8712000	 0000000019957,00	
8713000	 0000000000727,00	
8714000	 0000000000407,00	
8715000	 0000000000562,00	
8716000	 0000000001426,00	
8717000	 0000000002741,00	
8720000	 0000000006729,00	
8721000	 0000000000891,00	
8722000	 0000000004812,00	
8723000	 0000000000022,00	
8724000	 0000000000026,00	
8725000	 0000000000728,00	
8726000	 0000000000037,00	
8727000	 0000000000213,00	
8910000	 0000003158724,00	
8911000	 0000000000000,00	
8913000	 0000001995243,00	
8914000	 0000000845184,00	
8915000	 0000000318297,00	
