001	BANCO DE CHILE
8110000	 0000000986302,00	
8111000	 0000000000000,00	
8113000	 0000000483519,00	
8114000	 0000000281103,00	
8115000	 0000000221680,00	
8130000	 0000000209503,00	
8131000	 0000000000000,00	
8133000	 0000000071220,00	
8134000	 0000000009027,00	
8135000	 0000000129256,00	
8140000	 0000000052486,00	
8141000	 0000000000000,00	
8143000	 0000000010344,00	
8144000	 0000000004832,00	
8145000	 0000000037310,00	
8310000	 0000011595745,00	
8311000	 0000000345196,00	
8312000	 0000000164636,00	
8314000	 0000000468399,00	
8315000	 0000002288428,00	
8315100	 0000001884096,00	
8315200	 0000000404332,00	
8317000	 0000008271130,00	
8318000	 0000000057956,00	
8318100	 0000000000000,00	
8318900	 0000000057956,00	
8319000	 0000000000000,00	
8510000	 0000014275542,00	
8511000	 0000000420353,00	
8513000	 0000013855189,00	
8520000	 0000000201368,00	
8521000	 0000000000000,00	
8523000	 0000000201368,00	
8530000	 0000000162005,00	
8531000	 0000000000000,00	
8533000	 0000000162005,00	
8540000	 0000018590829,00	
8543000	 0000004826966,00	
8544000	 0000009909320,00	
8545000	 0000003854543,00	
8560000	 0000000780049,00	
8563000	 0000000277266,00	
8564000	 0000000281103,00	
8565000	 0000000221680,00	
8610000	 0000004402674,00	
8620000	 0000000031812,00	
8630000	 0000000008783,00	
8640000	 0000007128296,00	
8660000	 0000000024180,00	
8700000	 0000000008957,00	
8710000	 0000000012567,00	
8711000	 0000000000000,00	
8712000	 0000000008476,00	
8713000	 0000000000406,00	
8714000	 0000000000190,00	
8715000	 0000000000484,00	
8716000	 0000000000126,00	
8717000	 0000000002885,00	
8720000	 0000000003610,00	
8721000	 0000000000000,00	
8722000	 0000000002986,00	
8723000	 0000000000000,00	
8724000	 0000000000001,00	
8725000	 0000000000532,00	
8726000	 0000000000015,00	
8727000	 0000000000076,00	
8910000	 0000000289716,00	
8911000	 0000000000000,00	
8913000	 0000000185074,00	
8914000	 0000000071183,00	
8915000	 0000000033459,00	
