001	BANCO DE CHILE
8110000	 0000000978967,00	
8111000	 0000000000000,00	
8113000	 0000000479318,00	
8114000	 0000000284358,00	
8115000	 0000000215291,00	
8130000	 0000000241221,00	
8131000	 0000000000000,00	
8133000	 0000000084135,00	
8134000	 0000000010712,00	
8135000	 0000000146374,00	
8140000	 0000000066227,00	
8141000	 0000000000000,00	
8143000	 0000000014647,00	
8144000	 0000000007356,00	
8145000	 0000000044224,00	
8310000	 0000011986791,00	
8311000	 0000000439669,00	
8312000	 0000000091270,00	
8314000	 0000000358755,00	
8315000	 0000002366953,00	
8315100	 0000001952980,00	
8315200	 0000000413973,00	
8317000	 0000008651193,00	
8318000	 0000000078951,00	
8318100	 0000000000000,00	
8318900	 0000000078951,00	
8319000	 0000000000000,00	
8510000	 0000014672487,00	
8511000	 0000000439832,00	
8513000	 0000014232655,00	
8520000	 0000000197667,00	
8521000	 0000000000000,00	
8523000	 0000000197667,00	
8530000	 0000000162961,00	
8531000	 0000000000000,00	
8533000	 0000000162961,00	
8540000	 0000018891947,00	
8543000	 0000004796235,00	
8544000	 0000010062294,00	
8545000	 0000004033418,00	
8560000	 0000000770924,00	
8563000	 0000000271275,00	
8564000	 0000000284358,00	
8565000	 0000000215291,00	
8610000	 0000004561756,00	
8620000	 0000000040408,00	
8630000	 0000000002447,00	
8640000	 0000007358104,00	
8660000	 0000000024076,00	
8700000	 0000000012597,00	
8710000	 0000000016867,00	
8711000	 0000000000000,00	
8712000	 0000000011019,00	
8713000	 0000000000577,00	
8714000	 0000000000550,00	
8715000	 0000000000556,00	
8716000	 0000000000203,00	
8717000	 0000000003962,00	
8720000	 0000000004270,00	
8721000	 0000000000000,00	
8722000	 0000000003602,00	
8723000	 0000000000000,00	
8724000	 0000000000001,00	
8725000	 0000000000545,00	
8726000	 0000000000017,00	
8727000	 0000000000105,00	
8910000	 0000000289507,00	
8911000	 0000000000000,00	
8913000	 0000000182465,00	
8914000	 0000000071267,00	
8915000	 0000000035775,00	
