028	BANCO BICE
8110000	 0000000172968,00	
8111000	 0000000000000,00	
8113000	 0000000159256,00	
8114000	 0000000009041,00	
8115000	 0000000004671,00	
8130000	 0000000013093,00	
8131000	 0000000000000,00	
8133000	 0000000011122,00	
8134000	 0000000000182,00	
8135000	 0000000001789,00	
8140000	 0000000001538,00	
8141000	 0000000000000,00	
8143000	 0000000000848,00	
8144000	 0000000000032,00	
8145000	 0000000000658,00	
8310000	 0000001519587,00	
8311000	 0000000026292,00	
8312000	 0000000052732,00	
8314000	 0000000083641,00	
8315000	 0000000418435,00	
8315100	 0000000409192,00	
8315200	 0000000009243,00	
8317000	 0000000766039,00	
8318000	 0000000164731,00	
8318100	 0000000000000,00	
8318900	 0000000164731,00	
8319000	 0000000007717,00	
8510000	 0000004497722,00	
8511000	 0000000000000,00	
8513000	 0000004497722,00	
8520000	 0000000237624,00	
8521000	 0000000000000,00	
8523000	 0000000237624,00	
8530000	 0000000110003,00	
8531000	 0000000000000,00	
8533000	 0000000110003,00	
8540000	 0000002187893,00	
8543000	 0000000564327,00	
8544000	 0000001433906,00	
8545000	 0000000189660,00	
8560000	 0000000028668,00	
8563000	 0000000014956,00	
8564000	 0000000009041,00	
8565000	 0000000004671,00	
8610000	 0000001001826,00	
8620000	 0000000021062,00	
8630000	 0000000002197,00	
8640000	 0000000493485,00	
8660000	 0000000001017,00	
8700000	 0000000000587,00	
8710000	 0000000000764,00	
8711000	 0000000000000,00	
8712000	 0000000000501,00	
8713000	 0000000000000,00	
8714000	 0000000000013,00	
8715000	 0000000000000,00	
8716000	 0000000000029,00	
8717000	 0000000000221,00	
8720000	 0000000000177,00	
8721000	 0000000000000,00	
8722000	 0000000000158,00	
8723000	 0000000000000,00	
8724000	 0000000000000,00	
8725000	 0000000000000,00	
8726000	 0000000000001,00	
8727000	 0000000000018,00	
8910000	 0000000047062,00	
8911000	 0000000000000,00	
8913000	 0000000042914,00	
8914000	 0000000003645,00	
8915000	 0000000000503,00	
