039	ITAÚ CORPBANCA
8110000	 0000001605894,00	
8111000	 0000000000000,00	
8113000	 0000001278257,00	
8114000	 0000000207198,00	
8115000	 0000000120439,00	
8130000	 0000000249008,00	
8131000	 0000000000000,00	
8133000	 0000000094473,00	
8134000	 0000000010092,00	
8135000	 0000000144443,00	
8140000	 0000000063515,00	
8141000	 0000000000000,00	
8143000	 0000000022865,00	
8144000	 0000000005500,00	
8145000	 0000000035150,00	
8310000	 0000007859923,00	
8311000	 0000000552340,00	
8312000	 0000000002756,00	
8314000	 0000000291975,00	
8315000	 0000001800785,00	
8315100	 0000001126555,00	
8315200	 0000000674230,00	
8317000	 0000004496446,00	
8318000	 0000000715621,00	
8318100	 0000000383084,00	
8318900	 0000000332537,00	
8319000	 0000000000000,00	
8510000	 0000011933806,00	
8511000	 0000000080907,00	
8513000	 0000011852899,00	
8520000	 0000000816987,00	
8521000	 0000000000000,00	
8523000	 0000000816987,00	
8530000	 0000000894799,00	
8531000	 0000000000000,00	
8533000	 0000000894799,00	
8540000	 0000010714826,00	
8543000	 0000001974686,00	
8544000	 0000006033712,00	
8545000	 0000002706428,00	
8560000	 0000000511024,00	
8563000	 0000000183387,00	
8564000	 0000000207198,00	
8565000	 0000000120439,00	
8610000	 0000003318178,00	
8620000	 0000000032507,00	
8630000	 0000000016080,00	
8640000	 0000004482043,00	
8660000	 0000000011115,00	
8700000	 0000000009934,00	
8710000	 0000000011928,00	
8711000	 0000000000035,00	
8712000	 0000000006278,00	
8713000	 0000000000322,00	
8714000	 0000000000000,00	
8715000	 0000000000104,00	
8716000	 0000000002039,00	
8717000	 0000000003150,00	
8720000	 0000000001994,00	
8721000	 0000000000069,00	
8722000	 0000000001682,00	
8723000	 0000000000046,00	
8724000	 0000000000000,00	
8725000	 0000000000085,00	
8726000	 0000000000022,00	
8727000	 0000000000090,00	
8910000	 0000000464821,00	
8911000	 0000000000000,00	
8913000	 0000000361084,00	
8914000	 0000000066865,00	
8915000	 0000000036872,00	
