049	BANCO SECURITY
8110000	 0000000472648,00	
8111000	 0000000000000,00	
8113000	 0000000445352,00	
8114000	 0000000012152,00	
8115000	 0000000015144,00	
8130000	 0000000041271,00	
8131000	 0000000000000,00	
8133000	 0000000024656,00	
8134000	 0000000000931,00	
8135000	 0000000015684,00	
8140000	 0000000006416,00	
8141000	 0000000000000,00	
8143000	 0000000003033,00	
8144000	 0000000000004,00	
8145000	 0000000003379,00	
8310000	 0000001321400,00	
8311000	 0000000023284,00	
8312000	 0000000000000,00	
8314000	 0000000026170,00	
8315000	 0000000315505,00	
8315100	 0000000215669,00	
8315200	 0000000099836,00	
8317000	 0000000956441,00	
8318000	 0000000000000,00	
8318100	 0000000000000,00	
8318900	 0000000000000,00	
8319000	 0000000000000,00	
8510000	 0000003895027,00	
8511000	 0000000002835,00	
8513000	 0000003892192,00	
8520000	 0000000925193,00	
8521000	 0000000000000,00	
8523000	 0000000925193,00	
8530000	 0000000303805,00	
8531000	 0000000000000,00	
8533000	 0000000303805,00	
8540000	 0000001547153,00	
8543000	 0000000325692,00	
8544000	 0000000812815,00	
8545000	 0000000408646,00	
8560000	 0000000060360,00	
8563000	 0000000033064,00	
8564000	 0000000012152,00	
8565000	 0000000015144,00	
8610000	 0000000485330,00	
8620000	 0000000023372,00	
8630000	 0000000003952,00	
8640000	 0000000807399,00	
8660000	 0000000001347,00	
8700000	 0000000000577,00	
8710000	 0000000000862,00	
8711000	 0000000000000,00	
8712000	 0000000000739,00	
8713000	 0000000000015,00	
8714000	 0000000000000,00	
8715000	 0000000000000,00	
8716000	 0000000000002,00	
8717000	 0000000000106,00	
8720000	 0000000000285,00	
8721000	 0000000000001,00	
8722000	 0000000000283,00	
8723000	 0000000000000,00	
8724000	 0000000000000,00	
8725000	 0000000000000,00	
8726000	 0000000000001,00	
8727000	 0000000000000,00	
8910000	 0000000092199,00	
8911000	 0000000000000,00	
8913000	 0000000080653,00	
8914000	 0000000006269,00	
8915000	 0000000005277,00	
