053	BANCO RIPLEY
8110000	 0000000029132,00	
8111000	 0000000000000,00	
8113000	 0000000000109,00	
8114000	 0000000001727,00	
8115000	 0000000027296,00	
8130000	 0000000051359,00	
8131000	 0000000000000,00	
8133000	 0000000000060,00	
8134000	 0000000000064,00	
8135000	 0000000051235,00	
8140000	 0000000035556,00	
8141000	 0000000000000,00	
8143000	 0000000000006,00	
8144000	 0000000000089,00	
8145000	 0000000035461,00	
8310000	 0000001293896,00	
8311000	 0000000000000,00	
8312000	 0000000000000,00	
8314000	 0000000000000,00	
8315000	 0000000000000,00	
8315100	 0000000000000,00	
8315200	 0000000000000,00	
8317000	 0000001293896,00	
8318000	 0000000000000,00	
8318100	 0000000000000,00	
8318900	 0000000000000,00	
8319000	 0000000000000,00	
8510000	 0000000000000,00	
8511000	 0000000000000,00	
8513000	 0000000000000,00	
8520000	 0000000000000,00	
8521000	 0000000000000,00	
8523000	 0000000000000,00	
8530000	 0000000000000,00	
8531000	 0000000000000,00	
8533000	 0000000000000,00	
8540000	 0000000743625,00	
8543000	 0000000000399,00	
8544000	 0000000017669,00	
8545000	 0000000725557,00	
8560000	 0000000029132,00	
8563000	 0000000000109,00	
8564000	 0000000001727,00	
8565000	 0000000027296,00	
8610000	 0000000000000,00	
8620000	 0000000000000,00	
8630000	 0000000000000,00	
8640000	 0000001289220,00	
8660000	 0000000004676,00	
8700000	 0000000002633,00	
8710000	 0000000002773,00	
8711000	 0000000000001,00	
8712000	 0000000002585,00	
8713000	 0000000000000,00	
8714000	 0000000000034,00	
8715000	 0000000000000,00	
8716000	 0000000000024,00	
8717000	 0000000000129,00	
8720000	 0000000000140,00	
8721000	 0000000000000,00	
8722000	 0000000000136,00	
8723000	 0000000000000,00	
8724000	 0000000000000,00	
8725000	 0000000000000,00	
8726000	 0000000000000,00	
8727000	 0000000000004,00	
8910000	 0000000015363,00	
8911000	 0000000000000,00	
8913000	 0000000000096,00	
8914000	 0000000001214,00	
8915000	 0000000014053,00	
