055	BANCO CONSORCIO
8110000	 0000000203700,00	
8111000	 0000000000000,00	
8113000	 0000000199088,00	
8114000	 0000000002451,00	
8115000	 0000000002161,00	
8130000	 0000000019293,00	
8131000	 0000000000000,00	
8133000	 0000000016508,00	
8134000	 0000000000152,00	
8135000	 0000000002633,00	
8140000	 0000000001539,00	
8141000	 0000000000000,00	
8143000	 0000000000596,00	
8144000	 0000000000102,00	
8145000	 0000000000841,00	
8310000	 0000000151548,00	
8311000	 0000000000000,00	
8312000	 0000000029281,00	
8314000	 0000000000000,00	
8315000	 0000000066967,00	
8315100	 0000000059874,00	
8315200	 0000000007093,00	
8317000	 0000000055300,00	
8318000	 0000000000000,00	
8318100	 0000000000000,00	
8318900	 0000000000000,00	
8319000	 0000000000000,00	
8510000	 0000002800282,00	
8511000	 0000000000000,00	
8513000	 0000002800282,00	
8520000	 0000000444547,00	
8521000	 0000000000000,00	
8523000	 0000000444547,00	
8530000	 0000000111003,00	
8531000	 0000000000000,00	
8533000	 0000000111003,00	
8540000	 0000001230657,00	
8543000	 0000000093448,00	
8544000	 0000001058325,00	
8545000	 0000000078884,00	
8560000	 0000000004848,00	
8563000	 0000000000236,00	
8564000	 0000000002451,00	
8565000	 0000000002161,00	
8610000	 0000000109084,00	
8620000	 0000000001341,00	
8630000	 0000000000489,00	
8640000	 0000000040491,00	
8660000	 0000000000143,00	
8700000	 0000000000213,00	
8710000	 0000000000295,00	
8711000	 0000000000000,00	
8712000	 0000000000118,00	
8713000	 0000000000000,00	
8714000	 0000000000000,00	
8715000	 0000000000001,00	
8716000	 0000000000167,00	
8717000	 0000000000009,00	
8720000	 0000000000082,00	
8721000	 0000000000000,00	
8722000	 0000000000000,00	
8723000	 0000000000000,00	
8724000	 0000000000000,00	
8725000	 0000000000000,00	
8726000	 0000000000082,00	
8727000	 0000000000000,00	
8910000	 0000000064879,00	
8911000	 0000000000000,00	
8913000	 0000000061859,00	
8914000	 0000000002227,00	
8915000	 0000000000793,00	
