039	ITAÚ CORPBANCA
811000000	 1551994535486,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 1220553879188,00	
811200100	 1098102669426,00	
811200101	 0864602363290,00	
811200102	 0233168693252,00	
811200103	 0000331612884,00	
811200104	 0000000000000,00	
811200600	 0001321628689,00	
811200700	 0007028968691,00	
811200800	 0000270718164,00	
811200900	 0000615057940,00	
811201000	 0063080664884,00	
811201100	 0048813722040,00	
811201200	 0001320449354,00	
811300000	 0210603660775,00	
811300100	 0001408549273,00	
811300200	 0005761210610,00	
811300300	 0000000000000,00	
811300400	 0190795783656,00	
811300500	 0009126928300,00	
811300600	 0003511188936,00	
811400000	 0120836995523,00	
811400100	 0099641154851,00	
811400200	 0006887511113,00	
811400300	 0013265658534,00	
811400400	 0000014309641,00	
811400500	 0001028361384,00	
812000000	 0900305414690,00	
812100000	 0000000000000,00	
812100100	 0000000000000,00	
812100200	 0000000000000,00	
812200000	 0771892503811,00	
812200100	 0619894775282,00	
812200101	 0503552889848,00	
812200102	 0115692099427,00	
812200103	 0000649786007,00	
812200104	 0000000000000,00	
812200600	 0000000000000,00	
812200700	 0000159853900,00	
812200800	 0000236914841,00	
812200900	 0000000000000,00	
812201000	 0033251451745,00	
812201100	 0118349508043,00	
812201200	 0000000000000,00	
812300000	 0071738936199,00	
812300100	 0000462286543,00	
812300200	 0000765699192,00	
812300300	 0000000000000,00	
812300400	 0032202648555,00	
812300500	 0037003324727,00	
812300600	 0001304977182,00	
812400000	 0056673974680,00	
812400100	 0042371390720,00	
812400200	 0000090556531,00	
812400300	 0011002066011,00	
812400400	 0000034763753,00	
812400500	 0003175197665,00	
813000000	 0019145610906,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0008398912717,00	
813200100	 0006412753447,00	
813200101	 0000963075127,00	
813200102	 0005160837111,00	
813200103	 0000288841209,00	
813200104	 0000000000000,00	
813200600	 0000000000000,00	
813200700	 0000294753760,00	
813200800	 0000060968952,00	
813200900	 0000000000000,00	
813201000	 0000756899453,00	
813201100	 0000873537105,00	
813201200	 0000000000000,00	
813300000	 0000389551099,00	
813300100	 0000000000000,00	
813300200	 0000003120823,00	
813300300	 0000000000000,00	
813300400	 0000386430276,00	
813300500	 0000000000000,00	
813300600	 0000000000000,00	
813400000	 0010357147090,00	
813400100	 0008142832162,00	
813400200	 0000431038559,00	
813400300	 0001622917295,00	
813400400	 0000000000000,00	
813400500	 0000160359074,00	
814000000	 0004361746314,00	
814100000	 0000000000000,00	
814100100	 0000000000000,00	
814100200	 0000000000000,00	
814200000	 0001554230031,00	
814200100	 0000947860720,00	
814200101	 0000408080018,00	
814200102	 0000427232987,00	
814200103	 0000112547715,00	
814200104	 0000000000000,00	
814200600	 0000000000000,00	
814200700	 0000030822006,00	
814200800	 0000005405479,00	
814200900	 0000001919037,00	
814201000	 0000105316425,00	
814201100	 0000462906364,00	
814201200	 0000000000000,00	
814300000	 0000528904967,00	
814300100	 0000018734130,00	
814300200	 0000017833110,00	
814300300	 0000000000000,00	
814300400	 0000481700695,00	
814300500	 0000010637032,00	
814300600	 0000000000000,00	
814400000	 0002278611316,00	
814400100	 0001736990276,00	
814400200	 0000131049284,00	
814400300	 0000372913795,00	
814400400	 0000006260141,00	
814400500	 0000031397820,00	
821000000	 24649942971705,00	
821100000	 0060064637107,00	
821100100	 0000000000000,00	
821100200	 0060064637107,00	
821200000	 15380376311689,00	
821200100	 12378947098840,00	
821200101	 8344140156882,00	
821200102	 3089625596984,00	
821200103	 0945181344974,00	
821200104	 0000000000000,00	
821200600	 1141096800287,00	
821200700	 0081575095330,00	
821200800	 0022313201931,00	
821200900	 0211463828015,00	
821201000	 0938155969304,00	
821201100	 0606824317982,00	
821201200	 0000000000000,00	
821300000	 6288305197651,00	
821300100	 0018028800833,00	
821300200	 0079131631740,00	
821300300	 0000000000000,00	
821300400	 5834028687575,00	
821300500	 0300723277376,00	
821300600	 0056392800127,00	
821400000	 2921196825258,00	
821400100	 2137923346264,00	
821400200	 0119418050543,00	
821400300	 0626745000180,00	
821400400	 0000792152833,00	
821400500	 0036318275438,00	
831000000	 7710283184191,00	
831100000	 0525903676629,00	
831100100	 0144013793745,00	
831100200	 0381889882884,00	
831200000	 0236086338275,00	
831300000	 0010373141659,00	
831500000	 1801704449665,00	
831500100	 1101898988028,00	
831500200	 0699805461637,00	
831600000	 4420639148549,00	
831600100	 0299178950658,00	
831600200	 0095974397631,00	
831600300	 3157834676411,00	
831600400	 0867651123849,00	
831600500	 0000000000000,00	
831700000	 0000000000000,00	
831700100	 0000000000000,00	
831700200	 0000000000000,00	
831700300	 0000000000000,00	
831700400	 0000000000000,00	
831700500	 0000000000000,00	
831800000	 0715576429414,00	
831800100	 0384045551542,00	
831800200	 0331530877872,00	
831900000	 0000000000000,00	
832000000	 1376091986577,00	
832100000	 0018943131142,00	
