037	BANCO SANTANDER-CHILE
411000000	 0515446813292,00	
411100000	 0437605611972,00	
411150000	 0000112285512,00	
411150100	 0000112285512,00	
411150101	 0000068996715,00	
411150102	 0000043288797,00	
411150103	 0000000000000,00	
411150200	 0000000000000,00	
411150201	 0000000000000,00	
411150202	 0000000000000,00	
411150203	 0000000000000,00	
411150300	 0000000000000,00	
411150301	 0000000000000,00	
411150302	 0000000000000,00	
411150400	 0000000000000,00	
411150401	 0000000000000,00	
411150402	 0000000000000,00	
411200000	 0015556798884,00	
411200100	 0015556798884,00	
411200101	 0000000000000,00	
411200102	 0015556798884,00	
411200109	 0000000000000,00	
411200200	 0000000000000,00	
411200201	 0000000000000,00	
411200202	 0000000000000,00	
411200209	 0000000000000,00	
411200300	 0000000000000,00	
411200301	 0000000000000,00	
411200302	 0000000000000,00	
411200303	 0000000000000,00	
411200304	 0000000000000,00	
411200309	 0000000000000,00	
411250000	 0000077527780,00	
411250100	 0000077527780,00	
411250101	 0000000000000,00	
411250102	 0000074027780,00	
411250103	 0000000000000,00	
411250104	 0000000000000,00	
411250105	 0000000000000,00	
411250106	 0000000000000,00	
411250107	 0000000000000,00	
411250190	 0000003500000,00	
411250200	 0000000000000,00	
411250201	 0000000000000,00	
411250202	 0000000000000,00	
411250203	 0000000000000,00	
411250204	 0000000000000,00	
411250205	 0000000000000,00	
411250206	 0000000000000,00	
411250207	 0000000000000,00	
411250208	 0000000000000,00	
411250290	 0000000000000,00	
411250300	 0000000000000,00	
411250301	 0000000000000,00	
411250302	 0000000000000,00	
411250309	 0000000000000,00	
411250400	 0000000000000,00	
411250401	 0000000000000,00	
411250402	 0000000000000,00	
411250409	 0000000000000,00	
411280000	 0188476791489,00	
411280100	 0140374687029,00	
411280101	 0140370813466,00	
411280102	 0000000000000,00	
411280103	 0000000000000,00	
411280104	 0000000000000,00	
411280105	 0000003873563,00	
411280106	 0000000000000,00	
411280200	 0013240508906,00	
411280201	 0000000175268,00	
411280202	 0007029241684,00	
411280203	 0000150017828,00	
411280204	 0006045609038,00	
411280205	 0000015465088,00	
411280209	 0000000000000,00	
411280300	 0004970964192,00	
411280400	 0003396172471,00	
411280500	 0009445678383,00	
411280501	 0007133864371,00	
411280502	 0002311814012,00	
411280600	 0015599380815,00	
411280601	 0003419739415,00	
411280602	 0012179641400,00	
411280700	 0000627463869,00	
411280701	 0000373951401,00	
411280702	 0000000000000,00	
411280709	 0000253512468,00	
