037	BANCO SANTANDER-CHILE
811000000	 1682936948265,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 1124966941762,00	
811200100	 0962318701189,00	
811200101	 0962291326693,00	
811200102	 0000000000000,00	
811200103	 0000027374496,00	
811200104	 0000000000000,00	
811200600	 0022278856715,00	
811200700	 0010617002211,00	
811200800	 0007408102771,00	
811200900	 0002483857173,00	
811201000	 0104885218713,00	
811201100	 0006668349326,00	
811201200	 0008306853664,00	
811300000	 0399294054994,00	
811300100	 0000182413853,00	
811300200	 0000306996172,00	
811300300	 0002002523473,00	
811300400	 0396011462631,00	
811300500	 0000000000000,00	
811300600	 0000790658865,00	
811400000	 0158675951509,00	
811400100	 0143769607932,00	
811400200	 0003445951260,00	
811400300	 0011241468868,00	
811400400	 0000000450000,00	
811400500	 0000218473449,00	
812000000	 0852759453556,00	
812100000	 0000000000000,00	
812100100	 0000000000000,00	
812100200	 0000000000000,00	
812200000	 0506246849234,00	
812200100	 0456151949737,00	
812200101	 0456134212294,00	
812200102	 0000000000000,00	
812200103	 0000017737443,00	
812200104	 0000000000000,00	
812200600	 0009805447621,00	
812200700	 0000248653408,00	
812200800	 0002420958522,00	
812200900	 0000000000000,00	
812201000	 0029697965261,00	
812201100	 0004787402146,00	
812201200	 0003134472539,00	
812300000	 0152787092780,00	
812300100	 0000092959242,00	
812300200	 0000178934960,00	
812300300	 0000730829481,00	
812300400	 0151115640474,00	
812300500	 0000000000000,00	
812300600	 0000668728623,00	
812400000	 0193725511542,00	
812400100	 0186775091048,00	
812400200	 0000012500001,00	
812400300	 0006937896380,00	
812400400	 0000000000000,00	
812400500	 0000000024113,00	
813000000	 0096817588953,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0046495046424,00	
813200100	 0033884900311,00	
813200101	 0033884162949,00	
813200102	 0000000000000,00	
813200103	 0000000737362,00	
813200104	 0000000000000,00	
813200600	 0000000000000,00	
813200700	 0001761805101,00	
813200800	 0002323007938,00	
813200900	 0001357979612,00	
813201000	 0002471856414,00	
813201100	 0000553855313,00	
813201200	 0004141641735,00	
813300000	 0007019564881,00	
813300100	 0000015048783,00	
813300200	 0000003902916,00	
813300300	 0000000000000,00	
813300400	 0006998029090,00	
813300500	 0000000000000,00	
813300600	 0000002584092,00	
813400000	 0043302977648,00	
813400100	 0034752618711,00	
813400200	 0001767981704,00	
813400300	 0006487206926,00	
813400400	 0000015871149,00	
813400500	 0000279299158,00	
814000000	 0026224066906,00	
814100000	 0000000000000,00	
814100100	 0000000000000,00	
814100200	 0000000000000,00	
814200000	 0012513843970,00	
814200100	 0008410817897,00	
814200101	 0008403380714,00	
814200102	 0000000000000,00	
814200103	 0000007437183,00	
814200104	 0000000000000,00	
814200600	 0000000000000,00	
814200700	 0000121641363,00	
814200800	 0000146532842,00	
814200900	 0000231281064,00	
814201000	 0002592064255,00	
814201100	 0000057011055,00	
814201200	 0000954495494,00	
814300000	 0006217649984,00	
814300100	 0000000897595,00	
814300200	 0000000000000,00	
814300300	 0000000000000,00	
