016	BANCO DE CRÉDITO E INVERSIONES
811000000	 1476880832086,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 1023055641054,00	
811200100	 0939605314729,00	
811200101	 0927813050644,00	
811200102	 0010210056216,00	
811200103	 0001582207869,00	
811200104	 0000000000000,00	
811200600	 0001671839431,00	
811200700	 0008259055320,00	
811200800	 0004382006789,00	
811200900	 0002444754995,00	
811201000	 0045207062210,00	
811201100	 0018085280368,00	
811201200	 0003400327212,00	
811300000	 0251909521452,00	
811300100	 0000156254277,00	
811300200	 0017700665636,00	
811300300	 0000000000000,00	
811300400	 0227543628207,00	
811300500	 0000000000000,00	
811300600	 0006508973332,00	
811400000	 0201915669580,00	
811400100	 0129287107797,00	
811400200	 0007895341145,00	
811400300	 0064545197040,00	
811400400	 0000000000000,00	
811400500	 0000188023598,00	
812000000	 0531494720599,00	
812100000	 0000000000000,00	
812100100	 0000000000000,00	
812100200	 0000000000000,00	
812200000	 0349875760048,00	
812200100	 0299569818143,00	
812200101	 0299559347385,00	
812200102	 0000000000000,00	
812200103	 0000010470758,00	
812200104	 0000000000000,00	
812200600	 0000000000000,00	
812200700	 0003516792721,00	
812200800	 0003136029874,00	
812200900	 0000000000000,00	
812201000	 0023775519502,00	
812201100	 0016688163802,00	
812201200	 0003189436006,00	
812300000	 0147943944233,00	
812300100	 0000132402018,00	
812300200	 0000156005141,00	
812300300	 0000000000000,00	
812300400	 0147125108221,00	
812300500	 0000000000000,00	
812300600	 0000530428853,00	
812400000	 0033675016318,00	
812400100	 0023800449483,00	
812400200	 0001335555975,00	
812400300	 0008493624444,00	
812400400	 0000000000000,00	
812400500	 0000045386416,00	
813000000	 0123550314409,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0059299389998,00	
813200100	 0049291596386,00	
813200101	 0042392241073,00	
813200102	 0004409942138,00	
813200103	 0002489413175,00	
813200104	 0000000000000,00	
