001	BANCO DE CHILE
811000000	 0956749772386,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 0519247545324,00	
811200100	 0437316629291,00	
811200101	 0330413088784,00	
811200102	 0000000000000,00	
811200103	 0106903540507,00	
811200104	 0000000000000,00	
811200600	 0015430765962,00	
811200700	 0004046839129,00	
811200800	 0004030256163,00	
811200900	 0000243446724,00	
811201000	 0044491677586,00	
811201100	 0002452163233,00	
811201200	 0011235767236,00	
811300000	 0250316819315,00	
811300100	 0000264671382,00	
811300200	 0000607871145,00	
811300300	 0000000000000,00	
811300400	 0248020857856,00	
811300500	 0000000000000,00	
811300600	 0001423418932,00	
811400000	 0187185407747,00	
811400100	 0163064984349,00	
811400200	 0003072256704,00	
811400300	 0020270385893,00	
811400400	 0000000000000,00	
811400500	 0000777780801,00	
812000000	 0343938373960,00	
812100000	 0000000000000,00	
812100100	 0000000000000,00	
812100200	 0000000000000,00	
812200000	 0218451417879,00	
812200100	 0183235238345,00	
812200101	 0155137896073,00	
812200102	 0000000000000,00	
812200103	 0028097342272,00	
812200104	 0000000000000,00	
812200600	 0012350360969,00	
812200700	 0000000000000,00	
812200800	 0003198570058,00	
812200900	 0000833581246,00	
812201000	 0008400520646,00	
812201100	 0001142435029,00	
812201200	 0009290711586,00	
812300000	 0072720030580,00	
812300100	 0000096025622,00	
812300200	 0000078701075,00	
812300300	 0000000000000,00	
812300400	 0072060363198,00	
812300500	 0000000000000,00	
812300600	 0000484940685,00	
812400000	 0052766925501,00	
812400100	 0044335618321,00	
812400200	 0000000000000,00	
812400300	 0008431307180,00	
812400400	 0000000000000,00	
812400500	 0000000000000,00	
813000000	 0096180236599,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0025676105857,00	
813200100	 0018800733064,00	
813200101	 0017989318050,00	
813200102	 0000000000000,00	
813200103	 0000811415014,00	
813200104	 0000000000000,00	
813200600	 0000000000000,00	
813200700	 0000260734928,00	
813200800	 0000282418329,00	
813200900	 0000000000000,00	
813201000	 0002674452027,00	
813201100	 0000249677404,00	
813201200	 0003408090105,00	
813300000	 0005908631236,00	
813300100	 0000010482306,00	
813300200	 0000000455333,00	
813300300	 0000000000000,00	
813300400	 0005841755253,00	
813300500	 0000000000000,00	
813300600	 0000055938344,00	
813400000	 0064595499506,00	
813400100	 0050923525574,00	
813400200	 0000291558045,00	
813400300	 0011743021111,00	
813400400	 0000000000000,00	
813400500	 0001637394776,00	
814000000	 0032391731029,00	
814100000	 0000000000000,00	
814100100	 0000000000000,00	
814100200	 0000000000000,00	
814200000	 0012254617502,00	
814200100	 0010377222853,00	
814200101	 0010112570940,00	
814200102	 0000000000000,00	
814200103	 0000264651913,00	
814200104	 0000000000000,00	
814200600	 0000000000000,00	
814200700	 0000038779967,00	
814200800	 0000002001164,00	
814200900	 0000000000000,00	
814201000	 0000681060669,00	
814201100	 0000015960877,00	
814201200	 0001139591972,00	
814300000	 0005458091332,00	
814300100	 0000147933253,00	
814300200	 0000006690696,00	
814300300	 0000000000000,00	
814300400	 0005302382550,00	
814300500	 0000000000000,00	
814300600	 0000001084833,00	
814400000	 0014679022195,00	
814400100	 0013078139409,00	
814400200	 0000061643300,00	
814400300	 0001272379787,00	
814400400	 0000000000000,00	
814400500	 0000266859699,00	
821000000	 37006300420422,00	
821100000	 0345881107877,00	
821100100	 0000000000000,00	
821100200	 0345881107877,00	
821200000	 20901430560857,00	
821200100	 16167050084494,00	
821200101	 13201852634553,00	
821200102	 0043641286237,00	
821200103	 2921556163704,00	
821200104	 0000000000000,00	
821200600	 1629096118596,00	
821200700	 0173731702265,00	
821200800	 0070764201497,00	
821200900	 0563765330188,00	
821201000	 2222766384324,00	
821201100	 0058902630182,00	
821201200	 0015354109311,00	
821300000	 10846980266592,00	
821300100	 0004938109142,00	
821300200	 0026830084198,00	
821300300	 0000000000000,00	
821300400	 10658215347888,00	
821300500	 0000000000000,00	
821300600	 0156996725364,00	
821400000	 4912008485096,00	
821400100	 3327467239549,00	
821400200	 0211026593116,00	
821400300	 1372226557949,00	
821400400	 0000507929279,00	
821400500	 0000780165203,00	
831000000	 12862668804245,00	
831100000	 0538839079905,00	
831100100	 0000000000000,00	
831100200	 0538839079905,00	
831200000	 0640724791696,00	
831300000	 0000000000000,00	
831500000	 2405321633440,00	
831500100	 1979689987924,00	
831500200	 0425631645516,00	
831600000	 9202464485055,00	
831600100	 1393038010089,00	
831600200	 0284358555565,00	
831600300	 1427070424546,00	
831600400	 6097997494855,00	
831600500	 0000000000000,00	
831700000	 0000000000000,00	
831700100	 0000000000000,00	
831700200	 0000000000000,00	
831700300	 0000000000000,00	
831700400	 0000000000000,00	
831700500	 0000000000000,00	
831800000	 0075318814149,00	
831800100	 0000000000000,00	
831800200	 0075318814149,00	
831900000	 0000000000000,00	
832000000	 0877546306800,00	
832100000	 0120467677031,00	
832100100	 0022576664175,00	
832100200	 0097891012856,00	
832300000	 0000000000000,00	
832300100	 0000000000000,00	
832300200	 0000000000000,00	
832300300	 0000000000000,00	
832500000	 0000000000000,00	
832500100	 0000000000000,00	
832500200	 0000000000000,00	
832500300	 0000000000000,00	
832700000	 0757078629769,00	
832700100	 0310097056762,00	
832700101	 0007924863940,00	
832700102	 0221933612768,00	
832700103	 0080238580054,00	
832700104	 0000000000000,00	
832700200	 0446981573007,00	
832700201	 0000000000000,00	
832700202	 0446981573007,00	
832700203	 0000000000000,00	
832700204	 0000000000000,00	
833000000	 20844403041333,00	
833050000	 4846770905376,00	
833050100	 0000522401589,00	
833050200	 4846248503787,00	
833100000	 2752577712414,00	
833200000	 13245054423543,00	
833300000	 0000000000000,00	
833300100	 0000000000000,00	
833300200	 0000000000000,00	
833300300	 0000000000000,00	
833350000	 0000020261602,00	
833360000	 0000053941685,00	
833370000	 0000000000000,00	
833380000	 0000130786480,00	
833400000	 0000000000000,00	
833410000	 0000000000000,00	
833420000	 0000000000000,00	
833500000	 0017348267338,00	
833500100	 0000000000000,00	
833500200	 0000000000000,00	
833500300	 0000000000000,00	
833500400	 0017348267338,00	
833500500	 0000000000000,00	
833500600	 0000000000000,00	
833500700	 0000000000000,00	
841000000	 5972837339356,00	
841000100	 0000000000000,00	
841000200	 0011906371500,00	
841000300	 0000000000000,00	
841000400	 0000000000000,00	
841000500	 0025972110000,00	
841000600	 5934958857856,00	
841000700	 0000000000000,00	
842000000	 0000000000000,00	
842000100	 0000000000000,00	
842000200	 0000000000000,00	
843000000	 0000000000000,00	
843000100	 0000000000000,00	
843000200	 0000000000000,00	
843000300	 0000000000000,00	
843000400	 0000000000000,00	
843000500	 0000000000000,00	
843500000	 0000000000000,00	
843500100	 0000000000000,00	
843500200	 0000000000000,00	
843500300	 0000000000000,00	
843500400	 0000000000000,00	
843500500	 0000000000000,00	
843500600	 0000000000000,00	
844100000	 0003366674823,00	
844200000	 0000404568221,00	
844300000	 0005291608988,00	
844400000	 4902783270000,00	
844400100	 4902783270000,00	
844400200	 0000000000000,00	
844500000	 2085949310000,00	
844500100	 1258778560000,00	
844500200	 0000000000000,00	
844500300	 0827170750000,00	
844600000	 0003265170525,00	
845250000	 0531887411953,00	
845250100	 0000000000000,00	
845250200	 0000000000000,00	
845250300	 0000657131665,00	
845250400	 0000000000000,00	
845250500	 0531230280288,00	
845250501	 0372271614670,00	
845250502	 0000000000000,00	
845250503	 0008017872179,00	
845250504	 0026300205627,00	
845250505	 0076228347696,00	
845250509	 0048412240116,00	
845250600	 0000000000000,00	
845250601	 0000000000000,00	
845250602	 0000000000000,00	
845250603	 0000000000000,00	
845250609	 0000000000000,00	
845500000	 0048164195827,00	
845500100	 0000000000000,00	
845500200	 0000000000000,00	
845500300	 0011367476236,00	
845500400	 0000000000000,00	
845500500	 0036796719591,00	
845500501	 0002842709240,00	
845500502	 0000000000000,00	
845500503	 0000312545000,00	
845500504	 0001023042850,00	
845500509	 0032618422501,00	
845500600	 0000000000000,00	
846100000	 0000000000000,00	
847000000	 0006381058167,00	
847100000	 0009189057611,00	
847100100	 0000055964374,00	
847100200	 0006333361068,00	
847100300	 0000626544846,00	
847100400	 0000297352759,00	
847100500	 0000143498595,00	
847100600	 0000090699088,00	
847100700	 0001641636881,00	
847200000	 0002807999444,00	
847200100	 0000000000000,00	
847200200	 0002529286488,00	
847200300	 0000002407197,00	
847200400	 0000000000000,00	
847200500	 0000000953500,00	
847200600	 0000000249833,00	
847200700	 0000275102426,00	
851000000	 15292190530733,00	
851100000	 0345881107877,00	
851200000	 14946309422856,00	
852000000	 0257276284584,00	
852100000	 0000000000000,00	
852200000	 0257276284584,00	
853000000	 0169757477767,00	
853100000	 0000000000000,00	
853200000	 0169757477767,00	
854000000	 19646412139863,00	
854200000	 4657135791808,00	
854300000	 10583995270180,00	
854400000	 4405281077875,00	
855000000	 0704334567960,00	
855200000	 0266832340898,00	
