049	BANCO SECURITY
811000000	 0488314181201,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 0464328518615,00	
811200100	 0407750506546,00	
811200101	 0407750506546,00	
811200102	 0000000000000,00	
811200103	 0000000000000,00	
811200104	 0000000000000,00	
811200600	 0001753240839,00	
811200700	 0003030809110,00	
811200800	 0000000000000,00	
811200900	 0000000000000,00	
811201000	 0050544406409,00	
811201100	 0000131539440,00	
811201200	 0001118016271,00	
811300000	 0010258534599,00	
811300100	 0000000000000,00	
811300200	 0004584471587,00	
811300300	 0000000000000,00	
811300400	 0005674063012,00	
811300500	 0000000000000,00	
811300600	 0000000000000,00	
811400000	 0013727127987,00	
811400100	 0010808062093,00	
811400200	 0001863796816,00	
811400300	 0001055269078,00	
811400400	 0000000000000,00	
811400500	 0000000000000,00	
812000000	 0188928218412,00	
812100000	 0000000000000,00	
812100100	 0000000000000,00	
812100200	 0000000000000,00	
812200000	 0181311050992,00	
812200100	 0180048892912,00	
812200101	 0178682658250,00	
812200102	 0000000000000,00	
812200103	 0001366234662,00	
812200104	 0000000000000,00	
812200600	 0000000000000,00	
812200700	 0000000000000,00	
812200800	 0000000000000,00	
812200900	 0000000000000,00	
812201000	 0001262158080,00	
812201100	 0000000000000,00	
812201200	 0000000000000,00	
812300000	 0005382201712,00	
812300100	 0000000000000,00	
812300200	 0002446086597,00	
812300300	 0000000000000,00	
812300400	 0002936115115,00	
812300500	 0000000000000,00	
812300600	 0000000000000,00	
812400000	 0002234965708,00	
812400100	 0002234965708,00	
812400200	 0000000000000,00	
812400300	 0000000000000,00	
812400400	 0000000000000,00	
812400500	 0000000000000,00	
813000000	 0028476746021,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0017437258159,00	
813200100	 0015537852369,00	
813200101	 0015537852369,00	
813200102	 0000000000000,00	
813200103	 0000000000000,00	
813200104	 0000000000000,00	
813200600	 0000000000000,00	
813200700	 0000694325142,00	
813200800	 0000036546714,00	
813200900	 0000000000000,00	
813201000	 0001168533934,00	
813201100	 0000000000000,00	
813201200	 0000000000000,00	
813300000	 0000500690462,00	
813300100	 0000000000000,00	
813300200	 0000269410662,00	
813300300	 0000231279800,00	
813300400	 0000000000000,00	
813300500	 0000000000000,00	
813300600	 0000000000000,00	
813400000	 0010538797400,00	
813400100	 0006951439658,00	
813400200	 0001860258280,00	
813400300	 0001727099462,00	
813400400	 0000000000000,00	
813400500	 0000000000000,00	
814000000	 0011186684252,00	
814100000	 0000000000000,00	
814100100	 0000000000000,00	
814100200	 0000000000000,00	
814200000	 0008238624617,00	
814200100	 0005080850908,00	
814200101	 0005080850908,00	
814200102	 0000000000000,00	
814200103	 0000000000000,00	
814200104	 0000000000000,00	
814200600	 0000850235237,00	
814200700	 0000188690471,00	
814200800	 0000000000000,00	
814200900	 0000000000000,00	
814201000	 0002118848001,00	
814201100	 0000000000000,00	
814201200	 0000000000000,00	
814300000	 0000433481169,00	
