039	ITAÚ CORPBANCA
411000000	 1386111538018,00	
411100000	 1184465842344,00	
411150000	 0013475704479,00	
411150100	 0000000104528,00	
411150101	 0000000104528,00	
411150102	 0000000000000,00	
411150103	 0000000000000,00	
411150200	 0004922526889,00	
411150201	 0004922526889,00	
411150202	 0000000000000,00	
411150203	 0000000000000,00	
411150300	 0008553073062,00	
411150301	 0008553073062,00	
411150302	 0000000000000,00	
411150400	 0000000000000,00	
411150401	 0000000000000,00	
411150402	 0000000000000,00	
411200000	 0021041719533,00	
411200100	 0001469605207,00	
411200101	 0000444173758,00	
411200102	 0001025431449,00	
411200109	 0000000000000,00	
411200200	 0000000000000,00	
411200201	 0000000000000,00	
411200202	 0000000000000,00	
411200209	 0000000000000,00	
411200300	 0019572114326,00	
411200301	 0000000000000,00	
411200302	 0000000000000,00	
411200303	 0000000000000,00	
411200304	 0000000000000,00	
411200309	 0019572114326,00	
411250000	 0001118690782,00	
411250100	 0000231215277,00	
411250101	 0000231215277,00	
411250102	 0000000000000,00	
411250103	 0000000000000,00	
411250104	 0000000000000,00	
411250105	 0000000000000,00	
411250106	 0000000000000,00	
411250107	 0000000000000,00	
411250190	 0000000000000,00	
411250200	 0000887475505,00	
411250201	 0000887397233,00	
411250202	 0000000078272,00	
411250203	 0000000000000,00	
411250204	 0000000000000,00	
411250205	 0000000000000,00	
411250206	 0000000000000,00	
411250207	 0000000000000,00	
411250208	 0000000000000,00	
411250290	 0000000000000,00	
411250300	 0000000000000,00	
411250301	 0000000000000,00	
411250302	 0000000000000,00	
411250309	 0000000000000,00	
411250400	 0000000000000,00	
411250401	 0000000000000,00	
411250402	 0000000000000,00	
411250409	 0000000000000,00	
411280000	 0646900419291,00	
411280100	 0509087070378,00	
411280101	 0305480622331,00	
411280102	 0180767444542,00	
411280103	 0000000000000,00	
411280104	 0000003519363,00	
411280105	 0000002418243,00	
411280106	 0022833065899,00	
411280200	 0035874596130,00	
411280201	 0032767280058,00	
411280202	 0001042912532,00	
411280203	 0000000000000,00	
411280204	 0000000000000,00	
411280205	 0000000000000,00	
411280209	 0002064403540,00	
411280300	 0015963885832,00	
411280400	 0000532671220,00	
411280500	 0017236670575,00	
411280501	 0013293519652,00	
411280502	 0003943150923,00	
411280600	 0048466116378,00	
411280601	 0008220292350,00	
411280602	 0040245824028,00	
411280700	 0019739408778,00	
411280701	 0019468473351,00	
411280702	 0000270935427,00	
411280709	 0000000000000,00	
411280900	 0000000000000,00	
411280901	 0000000000000,00	
411280902	 0000000000000,00	
411280990	 0000000000000,00	
411350000	 0162074496689,00	
411350100	 0000574818203,00	
411350200	 0002526866727,00	
411350300	 0000000000000,00	
411350400	 0138427759160,00	
411350401	 0112111485393,00	
411350402	 0026316273767,00	
411350500	 0020545052599,00	
411350900	 0000000000000,00	
411350901	 0000000000000,00	
411350902	 0000000000000,00	
411350903	 0000000000000,00	
411350990	 0000000000000,00	
411380000	 0293039020474,00	
411380100	 0197008853644,00	
411380200	 0027957919602,00	
411380300	 0067840354167,00	
411380400	 0000046633516,00	
411380900	 0000185259545,00	
411380901	 0000185259545,00	
411380990	 0000000000000,00	
411450000	 0046815791096,00	
411450100	 0029175118056,00	
411450101	 0000000000000,00	
411450102	 0029175118056,00	
411450109	 0000000000000,00	
411450200	 0000718559659,00	
411450201	 0000000000000,00	
411450202	 0000718559659,00	
411450209	 0000000000000,00	
411450300	 0000000000000,00	
411450400	 0001371497909,00	
411450900	 0015550615472,00	
411700000	 0148591080254,00	
411720000	 0147266467711,00	
411720100	 0142380471398,00	
411720101	 0122948807862,00	
411720102	 0017332368805,00	
411720109	 0002099294731,00	
411720200	 0001780749247,00	
411720201	 0000173673519,00	
411720202	 0000000000000,00	
411720209	 0001607075728,00	
411720300	 0003105247066,00	
411720301	 0000000000000,00	
411720302	 0000434128134,00	
411720303	 0000252379307,00	
411720304	 0000000000000,00	
411720309	 0002418739625,00	
411740000	 0001324612543,00	
411740100	 0000000000000,00	
411740101	 0000000000000,00	
411740102	 0000000000000,00	
411740103	 0000000000000,00	
411740104	 0000000000000,00	
411740200	 0001324612543,00	
411800000	 0053054615420,00	
411800100	 0115698832335,00	
411800200	-0022637461984,00	
411800300	-0040006754931,00	
412000000	-0712322017070,00	
412100000	-0752199327446,00	
412150000	-0067372995646,00	
412150100	-0008805977801,00	
412150101	-0000000899274,00	
412150102	-0000261284328,00	
412150103	-0008539922298,00	
412150104	-0000003871901,00	
412150200	-0057824479179,00	
412150201	 0000000000000,00	
412150202	-0057824479179,00	
412150300	 0000000000000,00	
412150500	-0000742538666,00	
412180000	-0464917871968,00	
412180100	-0464912771575,00	
412180200	 0000000000000,00	
412180201	 0000000000000,00	
412180202	 0000000000000,00	
412180300	-0000005100393,00	
