Descriptores de cuentas usados en reportes MR1

Periodo: Año 2022 - Mes: Octubre

CUENTA	GLOSA
411000000	INGRESOS POR INTERESES
411100000	     ACTIVOS FINANCIEROS A COSTO AMORTIZADO
411150000	     Derechos por pactos de retroventa y prestamos de valores
411150100	          Operaciones con bancos del país
411150101	               Contratos de retroventa con otros bancos
411150102	               Contratos de retroventa con Banco Central de Chile
411150103	               Derechos por préstamos de valores
411150200	          Operaciones con bancos del exterior
411150201	               Contratos de retroventa con otros bancos
411150202	               Contratos de retroventa con Bancos Centrales del exterior
411150203	               Derechos por préstamos de valores
411150300	          Operaciones con otras entidades en el país
411150301	               Contratos de retroventa
411150302	               Derechos por préstamos de valores
411150400	          Operaciones con otras entidades en el exterior
411150401	               Contratos de retroventa
411150402	               Derechos por préstamos de valores
411200000	     Instrumentos financieros de deuda
411200100	          Del Estado y Banco Central de Chile
411200101	               Instrumentos financieros de deuda del Banco Central de Chile
411200102	               Bonos y pagarés de la Tesorería General de la República
411200109	               Otros instrumentos financieros de deuda fiscales
411200200	          Otros instrumentos financieros de deuda emitidos en el país
411200201	               Instrumentos financieros de deuda de otros bancos del país
411200202	               Bonos y efectos de comercio de empresas del país
411200209	               Otros instrumentos financieros de deuda emitidos en el país
411200300	          Instrumentos financieros de deuda emitidos en el exterior
411200301	               Instrumentos financieros de deuda de Bancos Centrales en el exterior
411200302	               Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior
411200303	               Instrumentos financieros de deuda de otros bancos en el exterior
411200304	               Bonos y efectos de comercio de empresas en el exterior
411200309	               Otros instrumentos financieros de deuda emitidos en el exterior
411250000	     Adeudado por bancos
411250100	          Bancos del país
411250101	               Préstamos interbancarios de liquidez
411250102	               Préstamos interbancarios comerciales
411250103	               Sobregiros en cuentas corrientes
411250104	               Créditos comercio exterior exportaciones chilenas
411250105	               Créditos comercio exterior importaciones chilenas
411250106	               Créditos comercio exterior entre terceros países
411250107	               Depósitos no transferibles en bancos del país
411250190	               Otras acreencias con bancos del país
411250200	          Bancos del exterior
411250201	               Préstamos interbancarios de liquidez
411250202	               Préstamos interbancarios comerciales
411250203	               Sobregiros en cuentas corrientes
411250204	               Créditos comercio exterior exportaciones chilenas
411250205	               Créditos comercio exterior importaciones chilenas
411250206	               Créditos comercio exterior entre terceros países
411250207	               Depósitos en cuenta corriente en bancos del exterior por operaciones de derivados
411250208	               Otros depósitos no transferibles en bancos del exterior
411250290	               Otras acreencias con bancos del exterior
411250300	          Banco Central de Chile
411250301	               Depósitos en cuenta corriente del Banco Central de Chile por operaciones de derivados con COMDER
411250302	               Otros depósitos en el Banco Central de Chile no disponibles
411250309	               Otras acreencias con el Banco Central de Chile
411250400	          Bancos Centrales del exterior
411250401	               Depósitos en cuenta corriente de Bancos Centrales del exterior por operaciones de derivados
411250402	               Otros depósitos en Bancos Centrales del exterior no disponibles
411250409	               Otras acreencias con Bancos Centrales del exterior
411280000	     Colocaciones comerciales
411280100	          Préstamos comerciales
411280101	               Préstamos en el país
411280102	               Préstamos en el exterior
411280103	               Créditos para infraestructura escolar Ley N° 20.845
411280104	               Préstamos con letras de crédito para fines generales
411280105	               Préstamos con mutuos hipotecarios endosables para fines generales
411280106	               Préstamos con mutuos hipotecarios no endosables para fines generales
411280200	          Créditos de comercio exterior
411280201	               Acreditivos negociados a plazo de exportaciones chilenas
411280202	               Otros créditos para exportaciones chilenas
411280203	               Acreditivos negociados a plazo de importaciones chilenas
411280204	               Otros créditos para importaciones chilenas
411280205	               Acreditivos negociados a plazo de operaciones entre terceros países
411280209	               Otros créditos para operaciones entre terceros países
411280300	          Deudores en cuentas corrientes
411280400	          Deudores por tarjetas de crédito
411280500	          Operaciones de factoraje
411280501	               Factoring con responsabilidad
411280502	               Factoring sin responsabilidad
411280600	          Operaciones de leasing financiero comercial
411280601	               Leasing por bienes inmobiliarios
411280602	               Leasing por bienes no inmobiliarios
411280700	          Préstamos estudiantiles
411280701	               Créditos para estudios superiores Ley N° 20.027
411280702	               Créditos con garantía CORFO
411280709	               Otros créditos para estudios superiores
411280900	          Otros créditos y cuentas por cobrar
411280901	               Deudores por pago de obligaciones avaladas
411280902	               Deudores por boletas de garantía pagadas
411280990	               Otras cuentas por cobrar
411350000	     Colocaciones para vivienda
411350100	          Préstamos con letras de crédito para vivienda
411350200	          Préstamos con mutuos hipotecarios endosable
411350300	          Préstamos con mutuos financiados con bonos hipotecarios
411350400	          Otros créditos con mutuos para vivienda
411350401	               Otros créditos con mutuos no endosables para vivienda
411350402	               Otros créditos con mutuos para vivienda
411350500	          Operaciones de leasing financiero para vivienda
411350900	          Otros créditos y cuentas por cobrar
411350901	               Créditos complementarios a los mutuos
411350902	               Créditos de enlace
411350903	               Créditos provenientes de la ANAP
411350990	               Cuentas por cobrar a deudores para vivienda
411380000	     Colocaciones de consumo
411380100	          Créditos de consumo en cuotas
411380200	          Deudores en cuentas corrientes
411380300	          Deudores por tarjetas de crédito
411380400	          Operaciones de leasing financiero de consumo
411380900	          Otros créditos y cuentas por cobrar
411380901	               Créditos de consumo rotativos
411380990	               Cuentas por cobrar a deudores de consumo
411450000	     Otros instrumentos financieros
411450100	          Depósitos en el Banco Central de Chile
411450101	               Depósitos en cuenta corriente
411450102	               Depósitos overnight
411450109	               Otros depósitos disponibles
411450200	          Depósitos en Bancos Centrales del exterior
411450201	               Depósitos en cuenta corriente
411450202	               Depósitos overnight
411450209	               Otros depósitos disponibles
411450300	          Depósitos en bancos del país
411450400	          Depósitos en bancos del exterior
411450900	          Otros intereses ganados
411700000	ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL
411720000	     Instrumentos financieros de deuda
411720100	          Del Estado y Banco Central de Chile
411720101	               Instrumentos financieros de deuda del Banco Central de Chile
411720102	               Bonos y pagarés de la Tesorería General de la República
411720109	               Otros instrumentos financieros de deuda fiscales
411720200	          Otros instrumentos financieros de deuda emitidos en el país
411720201	               Instrumentos financieros de deuda de otros bancos del país
411720202	               Bonos y efectos de comercio de empresas del país
411720209	               Otros instrumentos financieros de deuda emitidos en el país
411720300	          Instrumentos financieros de deuda emitidos en el exterior
411720301	               Instrumentos financieros de deuda de Bancos Centrales en el exterior
411720302	               Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior
411720303	               Instrumentos financieros de deuda de otros bancos en el exterior
411720304	               Bonos y efectos de comercio de empresas en el exterior
411720309	               Otros instrumentos financieros de deuda emitidos en el exterior
411740000	     Otros instrumentos financieros
411740100	          Créditos originados y adquiridos por la entidad
411740101	               Adeudado por bancos
411740102	               Colocaciones comerciales
411740103	               Colocaciones para vivienda
411740104	               Colocaciones de consumo
411740200	          Otros
411800000	 RESULTADO DE COBERTURAS CONTABLES DEL RIESGO DE TASAS DE INTERÉS
411800100	          Utilidad por contratos de derivados financieros para cobertura contable
411800200	          Pérdida por contratos de derivados financieros para cobertura contable
411800300	          Resultados por ajuste de activos financieros cubiertos
412000000	GASTOS POR INTERESES
412100000	PASIVOS FINANCIEROS A COSTO AMORTIZADO
412150000	     Depósitos y otras obligaciones a la vista
412150100	          Cuentas corrientes
412150101	               Cuentas corrientes de bancos del país
412150102	               Cuentas corrientes de bancos del exterior
412150103	               Cuentas corrientes de otras personas jurídicas
412150104	               Cuentas corrientes de personas naturales
412150200	          Cuentas de depósito a la vista
412150201	               Cuentas de ahorro a la vista
412150202	               Cuentas a la vista
412150300	          Otros depósitos a la vista
412150500	          Otras obligaciones a la vista
412180000	     Depósitos y otras captaciones a plazo
412180100	          Depósitos a plazo
412180200	          Cuentas de ahorro a plazo
