009	BANCO INTERNACIONAL
811000000	 0190823160381,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 0189292330150,00	
811200100	 0164992455534,00	
811200101	 0164992455534,00	
811200102	 0000000000000,00	
811200103	 0000000000000,00	
811200104	 0000000000000,00	
811200600	 0001075407613,00	
811200700	 0001202432343,00	
811200800	 0000000000000,00	
811200900	 0000493578787,00	
811201000	 0011016541087,00	
811201100	 0010429568981,00	
811201200	 0000082345805,00	
811300000	 0001247218492,00	
811300100	 0000368849827,00	
811300200	 0000729397212,00	
811300300	 0000000000000,00	
811300400	 0000148971453,00	
811300500	 0000000000000,00	
811300600	 0000000000000,00	
811400000	 0000283611739,00	
811400100	 0000265345319,00	
811400200	 0000011432521,00	
811400300	 0000006775960,00	
811400400	 0000000000000,00	
811400500	 0000000057939,00	
812000000	 0083602240640,00	
812100000	 0000000000000,00	
812100100	 0000000000000,00	
812100200	 0000000000000,00	
812200000	 0077451519296,00	
812200100	 0063974903494,00	
812200101	 0063894447893,00	
812200102	 0000000000000,00	
812200103	 0000080455601,00	
812200104	 0000000000000,00	
812200600	 0000414174875,00	
812200700	 0000138142232,00	
812200800	 0000000000000,00	
812200900	 0000000000000,00	
812201000	 0001800085592,00	
812201100	 0011084226793,00	
812201200	 0000039986310,00	
812300000	 0000143155036,00	
812300100	 0000030575339,00	
812300200	 0000112579697,00	
812300300	 0000000000000,00	
812300400	 0000000000000,00	
812300500	 0000000000000,00	
812300600	 0000000000000,00	
812400000	 0006007566308,00	
812400100	 0006005258749,00	
812400200	 0000000000000,00	
812400300	 0000000000000,00	
812400400	 0000000000000,00	
812400500	 0000002307559,00	
813000000	 0007209549585,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0006551040724,00	
813200100	 0005968045357,00	
813200101	 0005968045357,00	
813200102	 0000000000000,00	
813200103	 0000000000000,00	
813200104	 0000000000000,00	
813200600	 0000000000000,00	
813200700	 0000000000000,00	
813200800	 0000000000000,00	
813200900	 0000061832051,00	
813201000	 0000443802829,00	
813201100	 0000077360487,00	
813201200	 0000000000000,00	
813300000	 0000112936126,00	
813300100	 0000000000000,00	
813300200	 0000112936126,00	
813300300	 0000000000000,00	
813300400	 0000000000000,00	
813300500	 0000000000000,00	
813300600	 0000000000000,00	
813400000	 0000545572735,00	
813400100	 0000545572735,00	
813400200	 0000000000000,00	
813400300	 0000000000000,00	
813400400	 0000000000000,00	
813400500	 0000000000000,00	
814000000	 0002172708320,00	
814100000	 0000000000000,00	
814100100	 0000000000000,00	
814100200	 0000000000000,00	
814200000	 0001911694911,00	
814200100	 0001844900539,00	
814200101	 0001844900539,00	
814200102	 0000000000000,00	
814200103	 0000000000000,00	
814200104	 0000000000000,00	
814200600	 0000000000000,00	
814200700	 0000000000000,00	
814200800	 0000000000000,00	
814200900	 0000000000000,00	
814201000	 0000060207403,00	
814201100	 0000006586969,00	
814201200	 0000000000000,00	
814300000	 0000139328753,00	
814300100	 0000013499952,00	
814300200	 0000120181604,00	
814300300	 0000000000000,00	
814300400	 0000000000000,00	
814300500	 0000005647197,00	
814300600	 0000000000000,00	
814400000	 0000121684656,00	
814400100	 0000121684656,00	
814400200	 0000000000000,00	
814400300	 0000000000000,00	
814400400	 0000000000000,00	
814400500	 0000000000000,00	
821000000	 2630001654382,00	
821100000	 0000000000000,00	
821100100	 0000000000000,00	
821100200	 0000000000000,00	
821200000	 2538581013613,00	
821200100	 1938950601580,00	
821200101	 1757441688324,00	
821200102	 0000000000000,00	
821200103	 0002752719901,00	
821200104	 0178756193355,00	
821200600	 0105816177396,00	
821200700	 0018590044058,00	
821200800	 0001621812994,00	
821200900	 0034500127085,00	
821201000	 0192107075404,00	
821201100	 0244709748738,00	
821201200	 0002285426358,00	
821300000	 0068550268785,00	
821300100	 0007777571894,00	
821300200	 0007874903755,00	
821300300	 0000000000000,00	
821300400	 0052897793136,00	
821300500	 0000000000000,00	
821300600	 0000000000000,00	
821400000	 0022870371984,00	
821400100	 0020167884995,00	
821400200	 0001212658963,00	
821400300	 0001489770087,00	
821400400	 0000000000000,00	
821400500	 0000000057939,00	
831000000	 0302480796632,00	
831100000	 0006980064000,00	
831100100	 0000000000000,00	
831100200	 0006980064000,00	
831200000	 0008356261962,00	
831300000	 0000000000000,00	
831500000	 0047798013952,00	
831500100	 0045247552239,00	
831500200	 0002550461713,00	
831600000	 0076874225931,00	
831600100	 0053194370786,00	
831600200	 0010325907420,00	
831600300	 0003539160553,00	
831600400	 0009814787172,00	
831600500	 0000000000000,00	
831700000	 0000000000000,00	
831700100	 0000000000000,00	
831700200	 0000000000000,00	
831700300	 0000000000000,00	
831700400	 0000000000000,00	
831700500	 0000000000000,00	
831800000	 0126106883374,00	
831800100	 0126106883374,00	
831800200	 0000000000000,00	
831900000	 0036365347413,00	
832000000	 0010736690548,00	
832100000	 0010736690548,00	
832100100	 0003877450653,00	
832100200	 0006859239895,00	
832300000	 0000000000000,00	
832300100	 0000000000000,00	
832300200	 0000000000000,00	
832300300	 0000000000000,00	
832500000	 0000000000000,00	
832500100	 0000000000000,00	
832500200	 0000000000000,00	
832500300	 0000000000000,00	
832700000	 0000000000000,00	
832700100	 0000000000000,00	
832700101	 0000000000000,00	
832700102	 0000000000000,00	
832700103	 0000000000000,00	
832700104	 0000000000000,00	
832700200	 0000000000000,00	
832700201	 0000000000000,00	
832700202	 0000000000000,00	
832700203	 0000000000000,00	
832700204	 0000000000000,00	
833000000	 4144384767670,00	
833050000	 0000000000000,00	
833050100	 0000000000000,00	
833050200	 0000000000000,00	
833100000	 4144384767670,00	
833200000	 0000000000000,00	
833300000	 0000000000000,00	
833300100	 0000000000000,00	
833300200	 0000000000000,00	
833300300	 0000000000000,00	
833350000	 0000000000000,00	
833360000	 0000000000000,00	
833370000	 0000000000000,00	
833380000	 0000000000000,00	
833400000	 0000000000000,00	
833410000	 0000000000000,00	
833420000	 0000000000000,00	
833500000	 0000000000000,00	
833500100	 0000000000000,00	
833500200	 0000000000000,00	
833500300	 0000000000000,00	
833500400	 0000000000000,00	
833500500	 0000000000000,00	
833500600	 0000000000000,00	
833500700	 0000000000000,00	
841000000	 0010000000000,00	
841000100	 0005000000000,00	
841000200	 0005000000000,00	
841000300	 0000000000000,00	
841000400	 0000000000000,00	
841000500	 0000000000000,00	
841000600	 0000000000000,00	
841000700	 0000000000000,00	
842000000	 0000000000000,00	
842000100	 0000000000000,00	
842000200	 0000000000000,00	
843000000	 0000000000000,00	
843000100	 0000000000000,00	
843000200	 0000000000000,00	
843000300	 0000000000000,00	
843000400	 0000000000000,00	
843000500	 0000000000000,00	
843500000	 0000000000000,00	
843500100	 0000000000000,00	
843500200	 0000000000000,00	
843500300	 0000000000000,00	
843500400	 0000000000000,00	
843500500	 0000000000000,00	
843500600	 0000000000000,00	
844100000	 0000000000000,00	
844200000	 0000000000000,00	
844300000	 0000000000000,00	
844400000	 0000000000000,00	
844400100	 0000000000000,00	
844400200	 0000000000000,00	
844500000	 1671337622000,00	
844500100	 1671337622000,00	
844500200	 0000000000000,00	
844500300	 0000000000000,00	
844600000	 0000000000000,00	
845250000	 0037835028134,00	
845250100	 0000000000000,00	
845250200	 0000000000000,00	
845250300	 0000000000000,00	
845250400	 0000000000000,00	
845250500	 0037708544216,00	
845250501	 0018969503251,00	
845250502	 0001874345863,00	
845250503	 0004050943188,00	
845250504	 0000627004438,00	
845250505	 0002515482962,00	
845250509	 0009671264514,00	
845250600	 0000126483918,00	
845250601	 0000000000000,00	
845250602	 0000126483918,00	
845250603	 0000000000000,00	
845250609	 0000000000000,00	
845500000	 0003669419998,00	
845500100	 0000000000000,00	
845500200	 0000000000000,00	
845500300	 0001972538062,00	
845500400	 0000000000000,00	
845500500	 0001696881936,00	
845500501	 0000000000000,00	
845500502	 0000000000000,00	
845500503	 0000000000000,00	
845500504	 0000000000000,00	
845500509	 0001696881936,00	
845500600	 0000000000000,00	
846100000	 0000000000000,00	
847000000	 0000155183394,00	
847100000	 0000181859295,00	
847100100	 0000001938115,00	
847100200	 0000059884284,00	
847100300	 0000009770914,00	
847100400	 0000000000000,00	
847100500	 0000000000000,00	
847100600	 0000000466379,00	
847100700	 0000109799603,00	
847200000	 0000026675901,00	
847200100	 0000000000000,00	
847200200	 0000013341931,00	
847200300	 0000000000000,00	
847200400	 0000000000000,00	
847200500	 0000000000000,00	
847200600	 0000000000000,00	
847200700	 0000013333970,00	
851000000	 1874202287794,00	
851100000	 0000000000000,00	
851200000	 1874202287794,00	
852000000	 0288651340893,00	
852100000	 0000000000000,00	
852200000	 0288651340893,00	
853000000	 0132015882755,00	
853100000	 0000000000000,00	
853200000	 0132015882755,00	
854000000	 0324169990295,00	
854200000	 0234280179757,00	
854300000	 0067303050293,00	
854400000	 0022586760245,00	
855000000	 0011960399212,00	
855200000	 0010429568981,00	
855300000	 0001247218492,00	
855400000	 0000283611739,00	
856050000	 0155982454761,00	
856050100	 0006980064000,00	
856050200	 0008341049002,00	
856050300	 0000000000000,00	
856050400	 0045284049053,00	
856050500	 0000000000000,00	
856050600	 0059011945293,00	
856050800	 0000000000000,00	
856050900	 0036365347413,00	
856150000	 0006592275702,00	
856150100	 0000000000000,00	
856150200	 0000015212960,00	
856150300	 0000000000000,00	
856150400	 0002215926615,00	
856150500	 0000000000000,00	
856150600	 0004361136127,00	
856150800	 0000000000000,00	
856150900	 0000000000000,00	
856250000	 0000445235070,00	
856250100	 0000000000000,00	
856250200	 0000000000000,00	
856250300	 0000000000000,00	
856250400	 0000298038284,00	
856250500	 0000000000000,00	
856250600	 0000147196786,00	
856250800	 0000000000000,00	
856250900	 0000000000000,00	
856350000	 0126106883374,00	
856350100	 0000000000000,00	
856350200	 0000000000000,00	
856350300	 0000000000000,00	
856350400	 0000000000000,00	
856350500	 0000000000000,00	
856350600	 0000000000000,00	
856350700	 0126106883374,00	
856350800	 0000000000000,00	
856350900	 0000000000000,00	
856450000	 0000000000000,00	
856450100	 0000000000000,00	
856450200	 0000000000000,00	
856450300	 0000000000000,00	
856450400	 0000000000000,00	
856450500	 0000000000000,00	
856450600	 0000000000000,00	
856450700	 0000000000000,00	
856450800	 0000000000000,00	
856450900	 0000000000000,00	
856550000	 0013304284998,00	
856550100	 0000000000000,00	
856550200	 0000000000000,00	
856550300	 0000000000000,00	
856550400	 0003525820279,00	
856550500	 0009778464719,00	
856550600	 0000000000000,00	
856650000	 0000049662727,00	
856650100	 0000000000000,00	
856650200	 0000000000000,00	
856650300	 0000000000000,00	
856650400	 0000013340274,00	
856650500	 0000036322453,00	
856650600	 0000000000000,00	
856750000	 0000000000000,00	
856750100	 0000000000000,00	
856750200	 0000000000000,00	
856750300	 0000000000000,00	
856750400	 0000000000000,00	
856750500	 0000000000000,00	
856750600	 0000000000000,00	
856750800	 0000000000000,00	
856750900	 0000000000000,00	
856850000	 0000000000000,00	
856850100	 0000000000000,00	
856850200	 0000000000000,00	
856850300	 0000000000000,00	
856850400	 0000000000000,00	
856850500	 0000000000000,00	
856850600	 0000000000000,00	
856850800	 0000000000000,00	
856850900	 0000000000000,00	
856950000	 0000000000000,00	
856950100	 0000000000000,00	
856950200	 0000000000000,00	
856950300	 0000000000000,00	
856950400	 0000000000000,00	
856950500	 0000000000000,00	
856950600	 0000000000000,00	
856950800	 0000000000000,00	
856950900	 0000000000000,00	
857000000	 0066973157087,00	
857100000	 0000000000000,00	
857100100	 0000000000000,00	
857100200	 0000000000000,00	
857200000	 0065874573561,00	
857200100	 0050797985622,00	
857200101	 0050797985622,00	
857200102	 0000000000000,00	
