051	BANCO FALABELLA
811000000	 0295135709060,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 0006264513290,00	
811200100	 0000873320099,00	
811200101	 0000072156384,00	
811200102	 0000000000000,00	
811200103	 0000801163715,00	
811200104	 0000000000000,00	
811200600	 0000000000000,00	
811200700	 0000000000000,00	
811200800	 0000000000000,00	
811200900	 0000000000000,00	
811201000	 0000000000000,00	
811201100	 0005391193191,00	
811201200	 0000000000000,00	
811300000	 0030241215145,00	
811300100	 0003610210482,00	
811300200	 0005388860122,00	
811300300	 0000000000000,00	
811300400	 0019895410569,00	
811300500	 0000000000000,00	
811300600	 0001346733972,00	
811400000	 0258629980625,00	
811400100	 0070077984008,00	
811400200	 0010944941768,00	
811400300	 0177607054849,00	
811400400	 0000000000000,00	
811400500	 0000000000000,00	
812000000	 0013156806346,00	
812100000	 0000000000000,00	
812100100	 0000000000000,00	
812100200	 0000000000000,00	
812200000	 0003455481751,00	
812200100	 0000027168809,00	
812200101	 0000000000000,00	
812200102	 0000000000000,00	
812200103	 0000027168809,00	
812200104	 0000000000000,00	
812200600	 0000000000000,00	
812200700	 0000000000000,00	
812200800	 0000000000000,00	
812200900	 0000000000000,00	
812201000	 0000000000000,00	
812201100	 0003428312942,00	
812201200	 0000000000000,00	
812300000	 0000683663991,00	
812300100	 0000158483264,00	
812300200	 0000078934174,00	
812300300	 0000000000000,00	
812300400	 0000404084741,00	
812300500	 0000000000000,00	
812300600	 0000042161812,00	
812400000	 0009017660604,00	
812400100	 0002834488457,00	
812400200	 0002843169274,00	
812400300	 0003340002873,00	
812400400	 0000000000000,00	
812400500	 0000000000000,00	
813000000	 0248875039886,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0001504512344,00	
813200100	 0000000000000,00	
813200101	 0000000000000,00	
813200102	 0000000000000,00	
813200103	 0000000000000,00	
813200104	 0000000000000,00	
813200600	 0000000000000,00	
813200700	 0000000000000,00	
813200800	 0000000000000,00	
