009	BANCO INTERNACIONAL
411000000	 0164880787696,00	
411100000	 0130053147981,00	
411150000	 0000000000000,00	
411150100	 0000000000000,00	
411150101	 0000000000000,00	
411150102	 0000000000000,00	
411150103	 0000000000000,00	
411150200	 0000000000000,00	
411150201	 0000000000000,00	
411150202	 0000000000000,00	
411150203	 0000000000000,00	
411150300	 0000000000000,00	
411150301	 0000000000000,00	
411150302	 0000000000000,00	
411150400	 0000000000000,00	
411150401	 0000000000000,00	
411150402	 0000000000000,00	
411200000	 0000000000000,00	
411200100	 0000000000000,00	
411200101	 0000000000000,00	
411200102	 0000000000000,00	
411200109	 0000000000000,00	
411200200	 0000000000000,00	
411200201	 0000000000000,00	
411200202	 0000000000000,00	
411200209	 0000000000000,00	
411200300	 0000000000000,00	
411200301	 0000000000000,00	
411200302	 0000000000000,00	
411200303	 0000000000000,00	
411200304	 0000000000000,00	
411200309	 0000000000000,00	
411250000	 0000434270826,00	
411250100	 0000434270826,00	
411250101	 0000000000000,00	
411250102	 0000434270826,00	
411250103	 0000000000000,00	
411250104	 0000000000000,00	
411250105	 0000000000000,00	
411250106	 0000000000000,00	
411250107	 0000000000000,00	
411250190	 0000000000000,00	
411250200	 0000000000000,00	
411250201	 0000000000000,00	
411250202	 0000000000000,00	
411250203	 0000000000000,00	
411250204	 0000000000000,00	
411250205	 0000000000000,00	
411250206	 0000000000000,00	
411250207	 0000000000000,00	
411250208	 0000000000000,00	
411250290	 0000000000000,00	
411250300	 0000000000000,00	
411250301	 0000000000000,00	
411250302	 0000000000000,00	
411250309	 0000000000000,00	
411250400	 0000000000000,00	
411250401	 0000000000000,00	
411250402	 0000000000000,00	
411250409	 0000000000000,00	
411280000	 0112319645399,00	
411280100	 0088506647920,00	
411280101	 0081817097969,00	
411280102	 0000000000000,00	
411280103	 0006229218092,00	
411280104	 0000046182569,00	
411280105	 0000414149290,00	
411280106	 0000000000000,00	
411280200	 0003853100450,00	
411280201	 0000000000000,00	
411280202	 0001306476129,00	
411280203	 0000000000000,00	
411280204	 0002546624321,00	
411280205	 0000000000000,00	
411280209	 0000000000000,00	
411280300	 0003510736976,00	
411280400	 0000145055644,00	
411280500	 0002899539009,00	
411280501	 0000006486317,00	
411280502	 0002893052692,00	
411280600	 0008768832091,00	
411280601	 0004170668206,00	
411280602	 0004598163885,00	
411280700	 0004635117790,00	
411280701	 0004315620341,00	
411280702	 0000000000000,00	
411280709	 0000319497449,00	
411280900	 0000000615519,00	
411280901	 0000000000000,00	
411280902	 0000000363107,00	
411280990	 0000000252412,00	
411350000	 0001891103293,00	
411350100	 0000000772451,00	
411350200	 0000252742480,00	
411350300	 0000000000000,00	
411350400	 0001637588362,00	
411350401	 0001637588362,00	
411350402	 0000000000000,00	
411350500	 0000000000000,00	
411350900	 0000000000000,00	
411350901	 0000000000000,00	
411350902	 0000000000000,00	
411350903	 0000000000000,00	
411350990	 0000000000000,00	
411380000	 0002172129205,00	
411380100	 0001763018443,00	
411380200	 0000249734538,00	
411380300	 0000159376224,00	
411380400	 0000000000000,00	
411380900	 0000000000000,00	
411380901	 0000000000000,00	
411380990	 0000000000000,00	
411450000	 0013235999258,00	
411450100	 0000000000000,00	
411450101	 0000000000000,00	
411450102	 0000000000000,00	
411450109	 0000000000000,00	
411450200	 0011228702843,00	
411450201	 0000000000000,00	
411450202	 0011228702843,00	
411450209	 0000000000000,00	
411450300	 0000003320061,00	
411450400	 0000000000000,00	
411450900	 0002003976354,00	
411700000	 0028003208923,00	
411720000	 0028003208923,00	
411720100	 0027331617187,00	
411720101	 0022430298772,00	
411720102	 0004901318415,00	
411720109	 0000000000000,00	
411720200	 0000671591736,00	
411720201	 0000538728942,00	
411720202	 0000132862794,00	
411720209	 0000000000000,00	
411720300	 0000000000000,00	
411720301	 0000000000000,00	
411720302	 0000000000000,00	
411720303	 0000000000000,00	
411720304	 0000000000000,00	
411720309	 0000000000000,00	
411740000	 0000000000000,00	
411740100	 0000000000000,00	
411740101	 0000000000000,00	
411740102	 0000000000000,00	
411740103	 0000000000000,00	
411740104	 0000000000000,00	
411740200	 0000000000000,00	
411800000	 0006824430792,00	
411800100	 0007629103978,00	
411800200	-0002105049188,00	
411800300	 0001300376002,00	
412000000	-0096041524683,00	
412100000	-0098734934695,00	
412150000	 0000000000000,00	
412150100	 0000000000000,00	
412150101	 0000000000000,00	
412150102	 0000000000000,00	
412150103	 0000000000000,00	
412150104	 0000000000000,00	
412150200	 0000000000000,00	
412150201	 0000000000000,00	
412150202	 0000000000000,00	
412150300	 0000000000000,00	
412150500	 0000000000000,00	
412180000	-0079137024054,00	
412180100	-0079137024054,00	
412180200	 0000000000000,00	
412180201	 0000000000000,00	
412180202	 0000000000000,00	
412180300	 0000000000000,00	
412180301	 0000000000000,00	
412180302	 0000000000000,00	
412180390	 0000000000000,00	
412250000	-0000636050887,00	
412250100	-0000000705164,00	
412250101	 0000000000000,00	
412250102	-0000000705164,00	
412250103	 0000000000000,00	
412250200	 0000000000000,00	
412250201	 0000000000000,00	
412250202	 0000000000000,00	
412250203	 0000000000000,00	
412250300	-0000635345723,00	
412250301	-0000635345723,00	
412250302	 0000000000000,00	
412250400	 0000000000000,00	
412250401	 0000000000000,00	
412250402	 0000000000000,00	
412280000	-0006569715434,00	
412280100	 0000000000000,00	
412280110	 0000000000000,00	
412280111	 0000000000000,00	
412280112	 0000000000000,00	
412280113	 0000000000000,00	
412280120	 0000000000000,00	
412280121	 0000000000000,00	
412280122	 0000000000000,00	
412280123	 0000000000000,00	
412280124	 0000000000000,00	
412280129	 0000000000000,00	
412280200	-0005028613168,00	
412280210	-0005028613168,00	
412280211	-0000005583333,00	
412280212	 0000000000000,00	
412280213	-0005023029835,00	
412280220	 0000000000000,00	
412280221	 0000000000000,00	
412280222	 0000000000000,00	
412280223	 0000000000000,00	
412280224	 0000000000000,00	
412280229	 0000000000000,00	
412280300	-0001541102266,00	
