001	BANCO DE CHILE
811000000	 0991628252824,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 0573515707015,00	
811200100	 0487568229896,00	
811200101	 0370522124371,00	
811200102	 0000000000000,00	
811200103	 0117046105525,00	
811200104	 0000000000000,00	
811200600	 0012973165056,00	
811200700	 0004241426465,00	
811200800	 0005880919608,00	
811200900	 0000506775624,00	
811201000	 0050544708185,00	
811201100	 0003051576611,00	
811201200	 0008748905570,00	
811300000	 0195735991367,00	
811300100	 0000172182129,00	
811300200	 0000348478161,00	
811300300	 0000000000000,00	
811300400	 0194430668763,00	
811300500	 0000000000000,00	
811300600	 0000784662314,00	
811400000	 0222376554442,00	
811400100	 0188507084658,00	
811400200	 0003100783932,00	
811400300	 0029776399391,00	
811400400	 0000000000000,00	
811400500	 0000992286461,00	
812000000	 0391126776092,00	
812100000	 0000000000000,00	
812100100	 0000000000000,00	
812100200	 0000000000000,00	
812200000	 0220386035834,00	
812200100	 0192885813773,00	
812200101	 0158898239028,00	
812200102	 0000000000000,00	
812200103	 0033987574745,00	
812200104	 0000000000000,00	
812200600	 0005273579833,00	
812200700	 0000000000000,00	
812200800	 0004585063846,00	
812200900	 0000266615606,00	
812201000	 0010266777891,00	
812201100	 0001852981847,00	
812201200	 0005255203038,00	
812300000	 0088766069533,00	
812300100	 0000067856929,00	
812300200	 0000098680195,00	
812300300	 0000000000000,00	
812300400	 0088044703116,00	
812300500	 0000000000000,00	
812300600	 0000554829293,00	
812400000	 0081974670725,00	
812400100	 0064371909413,00	
812400200	 0000000000000,00	
812400300	 0017602761312,00	
812400400	 0000000000000,00	
812400500	 0000000000000,00	
813000000	 0265479590151,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0083958286134,00	
813200100	 0066189820376,00	
813200101	 0065378405362,00	
813200102	 0000000000000,00	
813200103	 0000811415014,00	
813200104	 0000000000000,00	
813200600	 0000000000000,00	
813200700	 0000634478955,00	
813200800	 0000282418329,00	
813200900	 0000000000000,00	
813201000	 0005434837960,00	
813201100	 0000451217087,00	
813201200	 0010965513427,00	
813300000	 0011046292018,00	
813300100	 0000020725737,00	
813300200	 0000000455333,00	
813300300	 0000000000000,00	
813300400	 0010953989920,00	
813300500	 0000000000000,00	
813300600	 0000071121028,00	
813400000	 0170475011999,00	
813400100	 0133186527519,00	
813400200	 0000912561778,00	
813400300	 0033434753771,00	
813400400	 0000000000000,00	
813400500	 0002941168931,00	
814000000	 0064508158006,00	
814100000	 0000000000000,00	
814100100	 0000000000000,00	
814100200	 0000000000000,00	
814200000	 0026312966623,00	
814200100	 0022063265733,00	
814200101	 0021798613820,00	
814200102	 0000000000000,00	
814200103	 0000264651913,00	
814200104	 0000000000000,00	
814200600	 0000000000000,00	
