009	BANCO INTERNACIONAL
811000000	 0196434027818,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 0194887826882,00	
811200100	 0168676673325,00	
811200101	 0168676673325,00	
811200102	 0000000000000,00	
811200103	 0000000000000,00	
811200104	 0000000000000,00	
811200600	 0001440443413,00	
811200700	 0001186830032,00	
811200800	 0000000000000,00	
811200900	 0000495424290,00	
811201000	 0010899802710,00	
811201100	 0012097319704,00	
811201200	 0000091333408,00	
811300000	 0001243162119,00	
811300100	 0000365636343,00	
811300200	 0000729122372,00	
811300300	 0000000000000,00	
811300400	 0000148403404,00	
811300500	 0000000000000,00	
811300600	 0000000000000,00	
811400000	 0000303038817,00	
811400100	 0000283199820,00	
811400200	 0000013392740,00	
811400300	 0000006412484,00	
811400400	 0000000000000,00	
811400500	 0000000033773,00	
812000000	 0092875231158,00	
812100000	 0000000000000,00	
812100100	 0000000000000,00	
812100200	 0000000000000,00	
812200000	 0086733220285,00	
812200100	 0072631565242,00	
812200101	 0072547534395,00	
812200102	 0000000000000,00	
812200103	 0000084030847,00	
812200104	 0000000000000,00	
812200600	 0000410640955,00	
812200700	 0000158307600,00	
812200800	 0000000000000,00	
812200900	 0000000000000,00	
812201000	 0001830717160,00	
812201100	 0011662003018,00	
812201200	 0000039986310,00	
812300000	 0000148994810,00	
812300100	 0000032100020,00	
812300200	 0000116894790,00	
812300300	 0000000000000,00	
812300400	 0000000000000,00	
812300500	 0000000000000,00	
812300600	 0000000000000,00	
812400000	 0005993016063,00	
812400100	 0005989788304,00	
812400200	 0000000000000,00	
812400300	 0000000000000,00	
812400400	 0000000000000,00	
812400500	 0000003227759,00	
813000000	 0008618888065,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0007912438674,00	
813200100	 0007323034344,00	
813200101	 0007323034344,00	
813200102	 0000000000000,00	
813200103	 0000000000000,00	
813200104	 0000000000000,00	
813200600	 0000000000000,00	
813200700	 0000000000000,00	
813200800	 0000000000000,00	
813200900	 0000061832051,00	
813201000	 0000443802829,00	
813201100	 0000083769450,00	
813201200	 0000000000000,00	
813300000	 0000112936126,00	
813300100	 0000000000000,00	
813300200	 0000112936126,00	
813300300	 0000000000000,00	
813300400	 0000000000000,00	
813300500	 0000000000000,00	
813300600	 0000000000000,00	
813400000	 0000593513265,00	
813400100	 0000593513265,00	
813400200	 0000000000000,00	
813400300	 0000000000000,00	
813400400	 0000000000000,00	
813400500	 0000000000000,00	
814000000	 0002388779998,00	
814100000	 0000000000000,00	
814100100	 0000000000000,00	
814100200	 0000000000000,00	
814200000	 0002115880034,00	
814200100	 0002047379706,00	
814200101	 0002047379706,00	
