012	BANCO DEL ESTADO DE CHILE
811000000	 2789764874947,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 1097652917388,00	
811200100	 0856188997505,00	
811200101	 0790117051420,00	
811200102	 0000000000000,00	
811200103	 0066071946085,00	
811200104	 0000000000000,00	
811200600	 0009508519287,00	
811200700	 0008095716551,00	
811200800	 0000656692907,00	
811200900	 0000559047342,00	
811201000	 0066667589919,00	
811201100	 0150618569857,00	
811201200	 0005357784020,00	
811300000	 1355245351560,00	
811300100	 0037848589053,00	
811300200	 0073464596827,00	
811300300	 0000000000000,00	
811300400	 1217143083041,00	
811300500	 0000000000000,00	
811300600	 0026789082639,00	
811400000	 0336866605999,00	
811400100	 0298385076991,00	
811400200	 0014169792488,00	
811400300	 0024311736520,00	
811400400	 0000000000000,00	
811400500	 0000000000000,00	
812000000	 1082937831302,00	
812100000	 0000000000000,00	
812100100	 0000000000000,00	
812100200	 0000000000000,00	
812200000	 0477151842552,00	
812200100	 0315789318138,00	
812200101	 0291943776445,00	
812200102	 0000000000000,00	
812200103	 0023845541693,00	
812200104	 0000000000000,00	
812200600	 0004356886411,00	
812200700	 0003711251976,00	
812200800	 0000406304144,00	
812200900	 0000256711839,00	
812201000	 0023251549268,00	
812201100	 0126828406318,00	
812201200	 0002551414458,00	
812300000	 0552694559742,00	
812300100	 0015572706788,00	
812300200	 0031934204340,00	
812300300	 0000000000000,00	
812300400	 0495574695651,00	
812300500	 0000000000000,00	
812300600	 0009612952963,00	
812400000	 0053091429008,00	
812400100	 0043343491708,00	
812400200	 0002003487328,00	
812400300	 0007744449972,00	
812400400	 0000000000000,00	
812400500	 0000000000000,00	
813000000	 0252524348982,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0101986611124,00	
813200100	 0066909025661,00	
813200101	 0066909025661,00	
813200102	 0000000000000,00	
813200103	 0000000000000,00	
813200104	 0000000000000,00	
813200600	 0001862114954,00	
813200700	 0000000000000,00	
813200800	 0000000000000,00	
813200900	 0000025791828,00	
813201000	 0004672202910,00	
813201100	 0014989996280,00	
813201200	 0013527479491,00	
813300000	 0032722087529,00	
813300100	 0001444789305,00	
813300200	 0001865433196,00	
813300300	 0000000000000,00	
813300400	 0023705062575,00	
813300500	 0000000000000,00	
813300600	 0005706802453,00	
813400000	 0117815650329,00	
813400100	 0096632196790,00	
813400200	 0004013400336,00	
813400300	 0017170053203,00	
813400400	 0000000000000,00	
813400500	 0000000000000,00	
814000000	 0075706162318,00	
814100000	 0000000000000,00	
814100100	 0000000000000,00	
814100200	 0000000000000,00	
814200000	 0034754784238,00	
814200100	 0027286999113,00	
814200101	 0027286999113,00	
814200102	 0000000000000,00	
814200103	 0000000000000,00	
814200104	 0000000000000,00	
814200600	 0000283796389,00	
814200700	 0000160633200,00	
814200800	 0000000000000,00	
814200900	 0000748700283,00	
814201000	 0001472306803,00	
814201100	 0000000000000,00	
814201200	 0004802348450,00	
814300000	 0013254772079,00	
814300100	 0000943122601,00	
814300200	 0000441513715,00	
814300300	 0000000000000,00	
814300400	 0010191266517,00	
814300500	 0000000000000,00	
814300600	 0001678869246,00	
814400000	 0027696606001,00	
814400100	 0017599732122,00	
814400200	 0002658762669,00	
814400300	 0007438111210,00	
814400400	 0000000000000,00	
814400500	 0000000000000,00	
821000000	 32146688785216,00	
821100000	 0749396011188,00	
821100100	 0000000000000,00	
821100200	 0749396011188,00	
821200000	 15875417496857,00	
821200100	 12474670734619,00	
821200101	 11511787522423,00	
821200102	 0023472046768,00	
821200103	 0707190476994,00	
821200104	 0232220688434,00	
821200600	 0920655901666,00	
821200700	 0172484768380,00	
821200800	 0005648450097,00	
821200900	 0263529657315,00	
821201000	 0936374166739,00	
821201100	 1093049755948,00	
821201200	 0009004062093,00	
821300000	 13209220886243,00	
821300100	 0227137728134,00	
821300200	 0477280722904,00	
821300300	 0000000000000,00	
821300400	 12318584396587,00	
821300500	 0000000000000,00	
821300600	 0186218038618,00	
821400000	 2312654390928,00	
821400100	 1812169644339,00	
821400200	 0094344016276,00	
821400300	 0406140730313,00	
821400400	 0000000000000,00	
821400500	 0000000000000,00	
831000000	 6480951619302,00	
831100000	 0576715209551,00	
831100100	 0500230111386,00	
831100200	 0076485098165,00	
831200000	 0231722131577,00	
831300000	 0000000000000,00	
