014	SCOTIABANK CHILE
811000000	 1114264807459,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 0546577811559,00	
811200100	 0407553655340,00	
811200101	 0407173913238,00	
811200102	 0000000000000,00	
811200103	 0000379742102,00	
811200104	 0000000000000,00	
811200600	 0015999497575,00	
811200700	 0004913511336,00	
811200800	 0000252873436,00	
811200900	 0001471719787,00	
811201000	 0022404630824,00	
811201100	 0093249744478,00	
811201200	 0000732178783,00	
811300000	 0308757421439,00	
811300100	 0009012435408,00	
811300200	 0002683460979,00	
811300300	 0000000000000,00	
811300400	 0289980892817,00	
811300500	 0003368555403,00	
811300600	 0003712076832,00	
811400000	 0258929574461,00	
811400100	 0111696879924,00	
811400200	 0005627192362,00	
811400300	 0141605467528,00	
811400400	 0000000000000,00	
811400500	 0000000034647,00	
812000000	 0642171806771,00	
812100000	 0000000000000,00	
812100100	 0000000000000,00	
812100200	 0000000000000,00	
812200000	 0257763157809,00	
812200100	 0126541841006,00	
812200101	 0126499156521,00	
812200102	 0000000000000,00	
812200103	 0000042684485,00	
812200104	 0000000000000,00	
812200600	 0035110727841,00	
812200700	 0000000000000,00	
812200800	 0000000000000,00	
812200900	 0000000000000,00	
812201000	 0007445147473,00	
812201100	 0088665441489,00	
812201200	 0000000000000,00	
812300000	 0248124300032,00	
812300100	 0000043942763,00	
812300200	 0000161523351,00	
812300300	 0000000000000,00	
812300400	 0246291911308,00	
812300500	 0001624788296,00	
812300600	 0000002134314,00	
812400000	 0136284348930,00	
812400100	 0042520981180,00	
812400200	 0000000000000,00	
812400300	 0093763367750,00	
812400400	 0000000000000,00	
812400500	 0000000000000,00	
813000000	 0229567944156,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0054799733387,00	
813200100	 0027513333111,00	
813200101	 0027415263657,00	
813200102	 0000000000000,00	
813200103	 0000098069454,00	
813200104	 0000000000000,00	
813200600	 0002079068109,00	
813200700	 0001382784713,00	
813200800	 0000000000000,00	
813200900	 0000017316477,00	
813201000	 0001898356769,00	
813201100	 0020575028835,00	
813201200	 0001333845373,00	
813300000	 0007393526072,00	
813300100	 0000088658473,00	
813300200	 0000095032987,00	
813300300	 0000000000000,00	
813300400	 0006930013379,00	
813300500	 0000260029929,00	
813300600	 0000019791304,00	
813400000	 0167374684697,00	
813400100	 0057218854449,00	
813400200	 0003072961657,00	
813400300	 0107073965472,00	
813400400	 0000000000000,00	
813400500	 0000008903119,00	
814000000	 0069980274599,00	
814100000	 0000000000000,00	
