016	BANCO DE CRÉDITO E INVERSIONES
811000000	 1562680865198,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 0996059044608,00	
811200100	 0885848019293,00	
811200101	 0879845435933,00	
811200102	 0005148466219,00	
811200103	 0000854117141,00	
811200104	 0000000000000,00	
811200600	 0015499342993,00	
811200700	 0008881942044,00	
811200800	 0005805719646,00	
811200900	 0005681442623,00	
811201000	 0054628920999,00	
811201100	 0011467951353,00	
811201200	 0008245705657,00	
811300000	 0293790340885,00	
811300100	 0000121489719,00	
811300200	 0021243694419,00	
811300300	 0000000000000,00	
811300400	 0267406776372,00	
811300500	 0000000000000,00	
811300600	 0005018380375,00	
811400000	 0272831479705,00	
811400100	 0152122231180,00	
811400200	 0014404095284,00	
811400300	 0106045965043,00	
811400400	 0000000000000,00	
811400500	 0000259188198,00	
812000000	 0600485694168,00	
812100000	 0000000000000,00	
812100100	 0000000000000,00	
812100200	 0000000000000,00	
812200000	 0362053388147,00	
812200100	 0313203169172,00	
812200101	 0313074712541,00	
812200102	 0000000000000,00	
812200103	 0000128456631,00	
812200104	 0000000000000,00	
812200600	 0000000000000,00	
812200700	 0003192691803,00	
812200800	 0004682220568,00	
812200900	 0000000000000,00	
812201000	 0024762837629,00	
812201100	 0010173352520,00	
812201200	 0006039116455,00	
812300000	 0188031749752,00	
812300100	 0000107942723,00	
812300200	 0000121442365,00	
812300300	 0000000000000,00	
812300400	 0186975501156,00	
812300500	 0000000000000,00	
812300600	 0000826863508,00	
812400000	 0050400556269,00	
812400100	 0031764358613,00	
812400200	 0003003524120,00	
812400300	 0015537506874,00	
812400400	 0000000000000,00	
812400500	 0000095166662,00	
813000000	 0358388026869,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0131266741559,00	
813200100	 0103159965113,00	
813200101	 0086110461716,00	
813200102	 0008813876735,00	
813200103	 0008235626662,00	
813200104	 0000000000000,00	
813200600	 0000000000000,00	
813200700	 0000000000000,00	
813200800	 0002850019249,00	
813200900	 0004777522035,00	
813201000	 0005032463567,00	
813201100	 0014283748946,00	
813201200	 0001163022649,00	
813300000	 0008843879859,00	
813300100	 0000000000000,00	
813300200	 0000000000000,00	
813300300	 0000000000000,00	
813300400	 0008843879859,00	
813300500	 0000000000000,00	
813300600	 0000000000000,00	
813400000	 0218277405451,00	
813400100	 0094820802898,00	
813400200	 0007073012597,00	
813400300	 0116383589956,00	
813400400	 0000000000000,00	
813400500	 0000000000000,00	
814000000	 0078217259361,00	
814100000	 0000000000000,00	
814100100	 0000000000000,00	
814100200	 0000000000000,00	
814200000	 0029895822927,00	
814200100	 0026195387965,00	
814200101	 0021569348912,00	
814200102	 0000000000000,00	
814200103	 0004626039053,00	
814200104	 0000000000000,00	
814200600	 0000000000000,00	
814200700	 0000000000000,00	
814200800	 0000000000000,00	
814200900	 0000947716618,00	
814201000	 0000412740582,00	
814201100	 0002289549283,00	
814201200	 0000050428479,00	
814300000	 0004856096986,00	
814300100	 0000028726496,00	
814300200	 0000000000000,00	
814300300	 0000000000000,00	
814300400	 0004827370490,00	
814300500	 0000000000000,00	
814300600	 0000000000000,00	
814400000	 0043465339448,00	
814400100	 0026880310146,00	
814400200	 0001199545080,00	
814400300	 0015378026623,00	
814400400	 0000000000000,00	
814400500	 0000007457599,00	
821000000	 47667101156595,00	
821100000	 0763324171497,00	
821100100	 0000000000000,00	
821100200	 0763324171497,00	
821200000	 29762044597443,00	
821200100	 25480547413921,00	
821200101	 12926315455896,00	
821200102	 5539529559305,00	
821200103	 7014702398720,00	
