028	BANCO BICE
811000000	 0208766902770,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 0187964102222,00	
811200100	 0158790950403,00	
811200101	 0157089942887,00	
811200102	 0000000000000,00	
811200103	 0001701007516,00	
811200104	 0000000000000,00	
811200600	 0005826336063,00	
811200700	 0001322885999,00	
811200800	 0000081818952,00	
811200900	 0001071777163,00	
811201000	 0015389374938,00	
811201100	 0000009919761,00	
811201200	 0005471038943,00	
811300000	 0015006565383,00	
811300100	 0000000000000,00	
811300200	 0004594154215,00	
811300300	 0000000000000,00	
811300400	 0010289036175,00	
811300500	 0000000000000,00	
811300600	 0000123374993,00	
811400000	 0005796235165,00	
811400100	 0004359946565,00	
811400200	 0000537866099,00	
811400300	 0000898422501,00	
811400400	 0000000000000,00	
811400500	 0000000000000,00	
812000000	 0094449531496,00	
812100000	 0000000000000,00	
812100100	 0000000000000,00	
812100200	 0000000000000,00	
812200000	 0083689211826,00	
812200100	 0080849583988,00	
812200101	 0080192247083,00	
812200102	 0000000000000,00	
812200103	 0000657336905,00	
812200104	 0000000000000,00	
812200600	 0000864767190,00	
812200700	 0000346378104,00	
812200800	 0000057531813,00	
812200900	 0000000000000,00	
812201000	 0001570950731,00	
812201100	 0000000000000,00	
812201200	 0000000000000,00	
812300000	 0008990785873,00	
812300100	 0000000000000,00	
812300200	 0003836032395,00	
812300300	 0000000000000,00	
812300400	 0005154600390,00	
812300500	 0000000000000,00	
812300600	 0000000153088,00	
812400000	 0001769533797,00	
812400100	 0001407384733,00	
812400200	 0000119331183,00	
812400300	 0000242817881,00	
812400400	 0000000000000,00	
812400500	 0000000000000,00	
813000000	 0008812983968,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0006541711274,00	
813200100	 0004463611280,00	
813200101	 0004463611280,00	
813200102	 0000000000000,00	
813200103	 0000000000000,00	
813200104	 0000000000000,00	
813200600	 0000000000000,00	
813200700	 0000102930135,00	
813200800	 0000000000000,00	
813200900	 0001203959544,00	
813201000	 0000165329575,00	
813201100	 0000000000000,00	
813201200	 0000605880740,00	
813300000	 0000309972214,00	
813300100	 0000000000000,00	
813300200	 0000123192617,00	
813300300	 0000000000000,00	
813300400	 0000186779597,00	
813300500	 0000000000000,00	
813300600	 0000000000000,00	
813400000	 0001961300480,00	
813400100	 0001224935345,00	
813400200	 0000298367987,00	
813400300	 0000437997148,00	
813400400	 0000000000000,00	
813400500	 0000000000000,00	
814000000	 0002508946591,00	
814100000	 0000000000000,00	
814100100	 0000000000000,00	
814100200	 0000000000000,00	
814200000	 0001627188123,00	
814200100	 0000870771786,00	
814200101	 0000870771786,00	
814200102	 0000000000000,00	
814200103	 0000000000000,00	
814200104	 0000000000000,00	
814200600	 0000484022593,00	
814200700	 0000003431836,00	
814200800	 0000000000000,00	
814200900	 0000121384240,00	
814201000	 0000019721848,00	
814201100	 0000000000000,00	
814201200	 0000127855820,00	
814300000	 0000315580001,00	
814300100	 0000000000000,00	
814300200	 0000315580001,00	
814300300	 0000000000000,00	
814300400	 0000000000000,00	
814300500	 0000000000000,00	
814300600	 0000000000000,00	
814400000	 0000566178467,00	
814400100	 0000447846452,00	
814400200	 0000051539335,00	
814400300	 0000066792680,00	
814400400	 0000000000000,00	
814400500	 0000000000000,00	
821000000	 8572697297603,00	
821100000	 0000000000000,00	
821100100	 0000000000000,00	
821100200	 0000000000000,00	
821200000	 6090812023252,00	
821200100	 4968959112348,00	
821200101	 4968959112348,00	
821200102	 0000000000000,00	
821200103	 0000000000000,00	
821200104	 0000000000000,00	
821200600	 0398781015242,00	
821200700	 0049650179645,00	
821200800	 0000000000000,00	
821200900	 0158765674811,00	
821201000	 0495767396761,00	
821201100	 0008754674948,00	
821201200	 0010133969497,00	
821300000	 2240756276731,00	
821300100	 0000223432616,00	
821300200	 0830051726499,00	
821300300	 0000000000000,00	
821300400	 1404702201092,00	
821300500	 0000000000000,00	
821300600	 0005778916524,00	
821400000	 0241128997620,00	
821400100	 0154289552406,00	
821400200	 0012699412868,00	
821400300	 0074140032346,00	
821400400	 0000000000000,00	
821400500	 0000000000000,00	
831000000	 1590542168233,00	
831100000	 0031541924115,00	
831100100	 0000000000000,00	
831100200	 0031541924115,00	
831200000	 0058112812414,00	
831300000	 0000000000000,00	
831500000	 0471317500897,00	
831500100	 0465172952677,00	
831500200	 0006144548220,00	
831600000	 0855954480947,00	
831600100	 0480940478764,00	
831600200	 0023194549966,00	
831600300	 0075666951805,00	
831600400	 0276152500412,00	
831600500	 0000000000000,00	
831700000	 0000000000000,00	
831700100	 0000000000000,00	
831700200	 0000000000000,00	
831700300	 0000000000000,00	
831700400	 0000000000000,00	
831700500	 0000000000000,00	
831800000	 0164428648951,00	
831800100	 0000000000000,00	
831800200	 0164428648951,00	
831900000	 0009186800909,00	
832000000	 2770349132323,00	
832100000	 0034617584005,00	
832100100	 0034367522840,00	
832100200	 0000250061165,00	
832300000	 0000000000000,00	
832300100	 0000000000000,00	
832300200	 0000000000000,00	
832300300	 0000000000000,00	
832500000	 0000274121999,00	
832500100	 0000274121999,00	
832500200	 0000000000000,00	
832500300	 0000000000000,00	
832700000	 2735457426319,00	
832700100	 1104630625313,00	
832700101	 0000000000000,00	
832700102	 1104630625313,00	
832700103	 0000000000000,00	
832700104	 0000000000000,00	
832700200	 1630826801006,00	
832700201	 0000000000000,00	
832700202	 1630826801006,00	
832700203	 0000000000000,00	
832700204	 0000000000000,00	
833000000	 7417951607422,00	
833050000	 0000000000000,00	
833050100	 0000000000000,00	
833050200	 0000000000000,00	
833100000	 2130036322790,00	
833200000	 1834015055224,00	
833300000	 3453900229408,00	
833300100	 3453900229408,00	
833300200	 0000000000000,00	
833300300	 0000000000000,00	
833350000	 0000000000000,00	
833360000	 0000000000000,00	
833370000	 0000000000000,00	
833380000	 0000000000000,00	
833400000	 0000000000000,00	
833410000	 0000000000000,00	
833420000	 0000000000000,00	
833500000	 0002715958542,00	
833500100	 0000000000000,00	
833500200	 0000000000000,00	
833500300	 0000000000000,00	
833500400	 0002715958542,00	
833500500	 0000000000000,00	
833500600	 0000000000000,00	
833500700	 0000000000000,00	
841000000	 0000000000000,00	
841000100	 0000000000000,00	
841000200	 0000000000000,00	
841000300	 0000000000000,00	
841000400	 0000000000000,00	
841000500	 0000000000000,00	
841000600	 0000000000000,00	
841000700	 0000000000000,00	
842000000	 0000000000000,00	
842000100	 0000000000000,00	
842000200	 0000000000000,00	
843000000	 0000000000000,00	
843000100	 0000000000000,00	
843000200	 0000000000000,00	
843000300	 0000000000000,00	
843000400	 0000000000000,00	
843000500	 0000000000000,00	
843500000	 0000000000000,00	
843500100	 0000000000000,00	
843500200	 0000000000000,00	
