037	BANCO SANTANDER-CHILE
811000000	 1847332568796,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 1245675859716,00	
811200100	 1065393806389,00	
811200101	 1065390187991,00	
811200102	 0000000000000,00	
811200103	 0000003618398,00	
811200104	 0000000000000,00	
811200600	 0028790881654,00	
811200700	 0010293954776,00	
811200800	 0009008913298,00	
811200900	 0005767322782,00	
811201000	 0103617699236,00	
811201100	 0007956440980,00	
811201200	 0014846840601,00	
811300000	 0422064209039,00	
811300100	 0000104221661,00	
811300200	 0000237762707,00	
811300300	 0002226096384,00	
811300400	 0416536148730,00	
811300500	 0000000000000,00	
811300600	 0002959979557,00	
811400000	 0179592500041,00	
811400100	 0150142647905,00	
811400200	 0006488765930,00	
811400300	 0022253989591,00	
811400400	 0000000000000,00	
811400500	 0000707096615,00	
812000000	 1072712626327,00	
812100000	 0000000000000,00	
812100100	 0000000000000,00	
812100200	 0000000000000,00	
812200000	 0622942249119,00	
812200100	 0579754729746,00	
812200101	 0579751111348,00	
812200102	 0000000000000,00	
812200103	 0000003618398,00	
812200104	 0000000000000,00	
812200600	 0005435389187,00	
812200700	 0000048628170,00	
812200800	 0004030236226,00	
812200900	 0000007201902,00	
812201000	 0023579694151,00	
812201100	 0006625811799,00	
812201200	 0003460557938,00	
812300000	 0259259178362,00	
812300100	 0000087808297,00	
812300200	 0000197758663,00	
812300300	 0001644513525,00	
812300400	 0255866505088,00	
812300500	 0000000000000,00	
812300600	 0001462592789,00	
812400000	 0190511198846,00	
812400100	 0177441754217,00	
812400200	 0000005413257,00	
812400300	 0013052801061,00	
812400400	 0000000000000,00	
812400500	 0000011230311,00	
813000000	 0337850965386,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0140665109037,00	
813200100	 0102498633973,00	
813200101	 0102496388654,00	
813200102	 0000000000000,00	
813200103	 0000002245319,00	
813200104	 0000000000000,00	
813200600	 0000000000000,00	
813200700	 0004961953582,00	
813200800	 0004714104894,00	
813200900	 0002230376412,00	
813201000	 0009976024142,00	
813201100	 0001624027744,00	
813201200	 0014659988290,00	
813300000	 0022281972236,00	
813300100	 0000019180479,00	
813300200	 0000003911775,00	
813300300	 0000000000000,00	
813300400	 0022237142031,00	
813300500	 0000000000000,00	
813300600	 0000021737951,00	
813400000	 0174903884113,00	
813400100	 0135034189704,00	
813400200	 0006096740307,00	
813400300	 0032155728783,00	
813400400	 0000023332109,00	
813400500	 0001593893210,00	
814000000	 0090576710288,00	
814100000	 0000000000000,00	
814100100	 0000000000000,00	
814100200	 0000000000000,00	
814200000	 0044861139148,00	
814200100	 0033103723280,00	
814200101	 0033096286097,00	
814200102	 0000000000000,00	
814200103	 0000007437183,00	
814200104	 0000000000000,00	
814200600	 0000000000000,00	
814200700	 0000530699142,00	
814200800	 0000689935026,00	
814200900	 0001147051349,00	
814201000	 0004110542620,00	
814201100	 0000368379901,00	
814201200	 0004910807830,00	
814300000	 0021575455868,00	
814300100	 0000024764282,00	
814300200	 0000000000000,00	
814300300	 0000000000000,00	
814300400	 0021539751116,00	
814300500	 0000000000000,00	
814300600	 0000010940470,00	
814400000	 0024140115272,00	
814400100	 0018845072507,00	
814400200	 0001151232044,00	
814400300	 0003952840673,00	
814400400	 0000016103945,00	
814400500	 0000174866103,00	
821000000	 39621520338922,00	
821100000	 0032991115517,00	
821100100	 0000000000000,00	
821100200	 0032991115517,00	
821200000	 18548974930076,00	
821200100	 14169456912240,00	
821200101	 14169333068526,00	
821200102	 0000000000000,00	
821200103	 0000123843714,00	
821200104	 0000000000000,00	
821200600	 1612408202829,00	
821200700	 0132265052669,00	
821200800	 0132945635455,00	
821200900	 0878389705800,00	
821201000	 1345442404964,00	
821201100	 0053547363601,00	
821201200	 0224519652518,00	
821300000	 15753717529084,00	
821300100	 0001926904567,00	
821300200	 0002270665484,00	
