039	ITAÚ CORPBANCA
811000000	 1576677874364,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 1179020509568,00	
811200100	 1033605935315,00	
811200101	 0879304338036,00	
811200102	 0153961105327,00	
811200103	 0000340491952,00	
811200104	 0000000000000,00	
811200600	 0008926116630,00	
811200700	 0011868138097,00	
811200800	 0000169630805,00	
811200900	 0002848828845,00	
811201000	 0056119567393,00	
811201100	 0062812882619,00	
811201200	 0002669409864,00	
811300000	 0242500327977,00	
811300100	 0001241599955,00	
811300200	 0007532634597,00	
811300300	 0000000000000,00	
811300400	 0221675230942,00	
811300500	 0008847525828,00	
811300600	 0003203336655,00	
811400000	 0155157036819,00	
811400100	 0121049682968,00	
811400200	 0010394053700,00	
811400300	 0022488113869,00	
811400400	 0000015108378,00	
811400500	 0001210077904,00	
812000000	 0922039900920,00	
812100000	 0000000000000,00	
812100100	 0000000000000,00	
812100200	 0000000000000,00	
812200000	 0650008372122,00	
812200100	 0565317447082,00	
812200101	 0452264754248,00	
812200102	 0060258641527,00	
812200103	 0052794051307,00	
812200104	 0000000000000,00	
812200600	 0000000000000,00	
812200700	 0000078357980,00	
812200800	 0000163461056,00	
812200900	 0000000000000,00	
812201000	 0040748299802,00	
812201100	 0043700806202,00	
812201200	 0000000000000,00	
812300000	 0192783342798,00	
812300100	 0000796220924,00	
812300200	 0004125162980,00	
812300300	 0000000000000,00	
812300400	 0148197054026,00	
812300500	 0038776817694,00	
812300600	 0000888087174,00	
812400000	 0079248186000,00	
812400100	 0063985431064,00	
812400200	 0000061130831,00	
812400300	 0011862436363,00	
812400400	 0000013902179,00	
812400500	 0003325285563,00	
813000000	 0297340832910,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0131745373673,00	
813200100	 0098702131706,00	
813200101	 0040403449067,00	
813200102	 0054807332402,00	
813200103	 0003491350237,00	
813200104	 0000000000000,00	
813200600	 0018107386142,00	
813200700	 0003178246469,00	
813200800	 0000078295983,00	
813200900	 0000139371372,00	
813201000	 0002791677091,00	
813201100	 0008748264910,00	
813201200	 0000000000000,00	
813300000	 0009211939246,00	
813300100	 0000018674603,00	
813300200	 0000206272278,00	
813300300	 0000000000000,00	
